Species,Strain,Temp.treatment,Temp.value,Replicate,Fitness,y0,y0_lm,lag,r2
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R1,0.019517659,0.094800003,0.064152999,20.00745046,0.998581996
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R10,0.019577122,0.107299998,0.066355263,24.54934704,0.999221814
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R11,0.019614929,0.105300002,0.07088769,20.17425842,0.998664037
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R12,0.017981227,0.100599997,0.074238044,16.8995962,0.998987839
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R2,0.020239672,0.108999997,0.071471004,20.85290829,0.998555585
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R3,0.021739846,0.094499998,0.0562156,23.89186781,0.998955713
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R4,0.018733253,0.101800002,0.067731055,21.75091176,0.999178159
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R5,0.026218579,0.097000003,0.050048358,25.23864075,0.999564199
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R6,0.018492404,0.106399998,0.073501362,20.00289583,0.998983515
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R7,0.019185776,0.094300002,0.068762361,16.4613975,0.997013907
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R8,0.018450276,0.100900002,0.072018562,18.27647676,0.997833071
Aphanomyces euteiches,Fifi46,opt1,26,Fifi46R9,0.020281701,0.101300001,0.064733386,22.07947662,0.999118105
Aphanomyces euteiches,RB84,high2,26,RB84R1,0.018274699,0.101599999,0.061677231,27.3125532,0.99894494
Aphanomyces euteiches,RB84,high2,26,RB84R10,0.016903141,0.116800003,0.07929546,22.91184833,0.997859784
Aphanomyces euteiches,RB84,high2,26,RB84R11,0.019285213,0.096000001,0.062720244,22.07203686,0.99854075
Aphanomyces euteiches,RB84,high2,26,RB84R12,0.017954262,0.103,0.06714784,23.82900592,0.998304416
Aphanomyces euteiches,RB84,high2,26,RB84R2,0.017878671,0.1017,0.06883112,21.83447209,0.998640895
Aphanomyces euteiches,RB84,high2,26,RB84R3,0.020980635,0.090300001,0.053668633,24.79947601,0.99860586
Aphanomyces euteiches,RB84,high2,26,RB84R4,0.019637239,0.099200003,0.063013862,23.10830449,0.997952137
Aphanomyces euteiches,RB84,high2,26,RB84R5,0.017881449,0.096500002,0.05577273,30.66071478,0.997772308
Aphanomyces euteiches,RB84,high2,26,RB84R6,0.019811891,0.104199998,0.066418024,22.73097684,0.997191377
Aphanomyces euteiches,RB84,high2,26,RB84R7,0.019737474,0.0876,0.051255092,27.1547429,0.998863684
Aphanomyces euteiches,RB84,high2,26,RB84R8,0.020865576,0.099299997,0.05940867,24.61975432,0.99654193
Aphanomyces euteiches,RB84,high2,26,RB84R9,0.020634268,0.102799997,0.051355162,33.63433519,0.997432983
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R1,0.009625545,0.096900001,0.052584398,63.50394636,0.995440942
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R10,0.00932716,0.118000001,0.074030532,49.98381229,0.997717933
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R11,0.009636797,0.098899998,0.070233847,35.51790762,0.997080954
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R12,0.008644304,0.100599997,0.075517349,33.17673623,0.995715888
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R2,0.009365217,0.108099997,0.064288799,55.48950965,0.994315124
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R3,0.009543551,0.092699997,0.054394348,55.86056744,0.997621611
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R4,0.0095082,0.101099998,0.06284781,49.9983178,0.99752281
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R5,0.010371517,0.105800003,0.057747487,58.37822024,0.992358565
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R6,0.009647786,0.106299996,0.067700497,46.76427496,0.996840501
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R7,0.009634053,0.097000003,0.062870799,45.01004996,0.992659763
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R8,0.009434573,0.0964,0.055089096,59.30892849,0.998659563
Aphanomyces euteiches,Fifi46,low1,14,Fifi46R9,0.009501415,0.119599998,0.073641712,51.03884336,0.988117753
Aphanomyces euteiches,RB84,low2,14,RB84R1,0.007328834,0.097599998,0.04242024,113.6950172,0.996957434
Aphanomyces euteiches,RB84,low2,14,RB84R10,0.007583793,0.110299997,0.04786042,110.092011,0.985214658
Aphanomyces euteiches,RB84,low2,14,RB84R11,0.009840976,0.097999997,0.033239059,109.8714028,0.983649523
Aphanomyces euteiches,RB84,low2,14,RB84R12,0.007228452,0.100100003,0.04787062,102.0505904,0.990538636
Aphanomyces euteiches,RB84,low2,14,RB84R2,0.007381921,0.105899997,0.041433751,127.1213047,0.997405623
Aphanomyces euteiches,RB84,low2,14,RB84R4,0.008879109,0.100400001,0.051793761,74.54492315,0.996427287
