Temp.treatment,Temp.value,Fitness,Noffs,Hatch_success
opt,33,47,46,97.87234043
opt,33,54,54,100
opt,33,36,35,97.22222222
opt,33,54,52,96.2962963
opt,33,66,65,98.48484848
opt,33,51,49,96.07843137
opt,33,43,42,97.6744186
opt,33,46,45,97.82608696
opt,33,45,39,86.66666667
opt,33,33,33,100
opt,33,21,11,52.38095238
opt,33,60,54,90
opt,33,45,45,100
opt,33,61,58,95.08196721
opt,33,64,47,73.4375
opt,33,60,60,100
opt,33,48,45,93.75
opt,33,58,58,100
opt,33,53,53,100
opt,33,67,66,98.50746269
high,37,0,0,0
high,37,2,2,100
high,37,0,0,0
high,37,29,25,86.20689655
high,37,0,0,0
high,37,0,0,0
high,37,18,5,27.77777778
high,37,37,34,91.89189189
high,37,49,43,87.75510204
high,37,9,7,77.77777778
high,37,20,20,100
high,37,0,0,0
high,37,29,25,86.20689655
high,37,32,30,93.75
high,37,16,14,87.5
high,37,18,15,83.33333333
high,37,0,0,0
high,37,0,0,0
high,37,0,0,0
high,37,32,20,62.5
lab,27,78,76,97.43589744
lab,27,76,74,97.36842105
lab,27,84,83,98.80952381
lab,27,63,62,98.41269841
lab,27,60,60,100
lab,27,73,71,97.26027397
lab,27,64,64,100
lab,27,73,71,97.26027397
lab,27,80,77,96.25
lab,27,83,81,97.59036145
lab,27,70,67,95.71428571
lab,27,67,67,100
lab,27,73,71,97.26027397
lab,27,78,78,100
lab,27,65,64,98.46153846
lab,27,65,63,96.92307692
lab,27,52,52,100
lab,27,79,78,98.73417722
lab,27,58,56,96.55172414
lab,27,68,67,98.52941176
low,22,29,22,75.86206897
low,22,65,54,83.07692308
low,22,70,68,97.14285714
low,22,76,75,98.68421053
low,22,69,59,85.50724638
low,22,77,75,97.4025974
low,22,73,70,95.89041096
low,22,96,95,98.95833333
low,22,84,81,96.42857143
low,22,71,71,100
low,22,82,81,98.7804878
low,22,70,60,85.71428571
low,22,65,61,93.84615385
low,22,3,0,0
low,22,57,50,87.71929825
low,22,64,56,87.5
low,22,60,60,100
low,22,73,72,98.63013699
low,22,82,58,70.73170732
low,22,75,68,90.66666667
