Temp.treatment,Temp.value,Group,Block,Fitness
low,18,A,4,1.260489
low,18,B,13,1.23553
low,18,C,9,1.224827
low,18,D,13,1.167074
low,18,E,9,1.211913
low,18,F,3,1.246201
low,18,G,3,1.234542
low,18,H,3,1.280307
low,18,I,4,1.284282
low,18,J,10,1.254955
low,18,K,10,1.235777
low,18,L,10,1.23689
low,18,M,9,1.284668
low,18,N,13,1.2532
low,18,O,4,1.276855
medium.low,22,A,11,1.364926
medium.low,22,B,5,1.148205
medium.low,22,C,14,1.309441
medium.low,22,D,2,1.313637
medium.low,22,E,5,1.220182
medium.low,22,F,8,1.325514
medium.low,22,G,14,1.191246
medium.low,22,H,2,1.250446
medium.low,22,I,11,1.295893
medium.low,22,J,8,1.209371
medium.low,22,K,11,1.240854
medium.low,22,L,14,1.189937
medium.low,22,M,5,1.303561
medium.low,22,N,8,1.342589
medium.low,22,O,2,1.295245
opt,26,A,15,1.242468
opt,26,B,1,1.261624
opt,26,C,12,1.338032
opt,26,D,6,1.330028
opt,26,E,12,1.205868
opt,26,F,15,1.343798
opt,26,G,1,1.17445
opt,26,H,6,1.310226
opt,26,I,7,1.251947
opt,26,J,12,1.300957
opt,26,K,7,1.305388
opt,26,L,15,1.316794
opt,26,M,6,1.322072
opt,26,N,7,1.283255
opt,26,O,1,1.312325
