"","X","ID","Temp.value","Mesocosm","Block","Survival","Death_Day","Count_1","Count_2","Count_3","Count_4","Count_5","Count_6","Count_7","Fitness","Total_Egg","Mass_g","Thorax_Width_mm","Body_Condition","Temp.treatment"
"1",1,1,30,25,1,1,"",6,7,5,1,1,5,1,3.714285714,26,0.08,3.78,"0.021164021","high"
"2",2,2,30,25,1,0,"5",7,6,5,NA,NA,NA,NA,6,18,NA,NA,"#DIV/0!","high"
"3",3,3,30,25,1,0,"8",7,3,11,7,NA,NA,NA,7,28,NA,NA,"#DIV/0!","high"
"4",4,4,30,24,1,0,"8",9,18,4,0,NA,NA,NA,7.75,31,NA,NA,"#DIV/0!","high"
"5",5,5,30,24,1,0,"8",5,11,10,5,NA,NA,NA,7.75,31,NA,NA,"#DIV/0!","high"
"6",6,6,30,24,1,0,"8",8,5,2,0,NA,NA,NA,3.75,15,NA,NA,"#DIV/0!","high"
"7",7,7,30,23,1,0,"7",2,0,3,NA,NA,NA,NA,1.666666667,5,NA,NA,"#DIV/0!","high"
"8",8,8,30,23,1,0,"5",0,4,NA,NA,NA,NA,NA,2,4,NA,NA,"#DIV/0!","high"
"9",9,9,30,23,1,0,"1",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!","high"
"10",10,10,30,22,1,0,"1",NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,"#DIV/0!","high"
"11",11,11,30,22,1,0,"3",20,7,NA,NA,NA,NA,NA,13.5,27,NA,NA,"#DIV/0!","high"
"12",12,12,30,22,1,0,"9",5,14,22,4,1,NA,NA,9.2,46,NA,NA,"#DIV/0!","high"
"13",13,13,30,21,1,1,"",12,20,5,4,0,4,26,10.14285714,71,0.067,3.61,"0.018559557","high"
"14",14,14,30,21,1,0,"6",8,1,11,NA,NA,NA,NA,6.666666667,20,NA,NA,"#DIV/0!","high"
"15",15,15,30,21,1,0,"5",2,9,NA,NA,NA,NA,NA,5.5,11,NA,NA,"#DIV/0!","high"
"16",16,16,28,20,1,1,"",10,23,13,15,5,0,3,9.857142857,69,0.08,3.41,"0.023460411",NA
