ID,Treatment,Mesocosm,Block,Survivorship,Death_Day,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Avg_Egg,Mass_g,Thorax_Width_mm,Body_Condition,Total_eggs
1,30,25,1,1,,6,7,5,1,1,5,1,3.714285714,0.08,3.78,0.021164021,26
2,30,25,1,0,5,7,6,5,,,,,6,,,#DIV/0!,18
3,30,25,1,0,8,7,3,11,7,,,,7,,,#DIV/0!,28
4,30,24,1,0,8,9,18,4,0,,,,7.75,,,#DIV/0!,31
5,30,24,1,0,8,5,11,10,5,,,,7.75,,,#DIV/0!,31
6,30,24,1,0,8,8,5,2,0,,,,3.75,,,#DIV/0!,15
7,30,23,1,0,7,2,0,3,,,,,1.666666667,,,#DIV/0!,5
8,30,23,1,0,5,0,4,,,,,,2,,,#DIV/0!,4
9,30,23,1,0,1,,,,,,,,0,,,#DIV/0!,0
10,30,22,1,0,1,,,,,,,,0,,,#DIV/0!,0
11,30,22,1,0,3,20,7,,,,,,13.5,,,#DIV/0!,27
12,30,22,1,0,9,5,14,22,4,1,,,9.2,,,#DIV/0!,46
13,30,21,1,1,,12,20,5,4,0,4,26,10.14285714,0.067,3.61,0.018559557,71
14,30,21,1,0,6,8,1,11,,,,,6.666666667,,,#DIV/0!,20
15,30,21,1,0,5,2,9,,,,,,5.5,,,#DIV/0!,11
16,28,20,1,1,,10,23,13,15,5,0,3,9.857142857,0.08,3.41,0.023460411,69
17,28,20,1,1,,7,0,0,6,0,0,1,2,0.072,3.77,0.019098143,14
18,28,20,1,0,7,9,4,11,1,,,,6.25,,,#DIV/0!,25
19,28,19,1,1,,10,12,8,1,0,0,1,4.571428571,0.064,3.49,0.018338109,32
20,28,19,1,0,4,7,5,,,,,,6,,,#DIV/0!,12
21,28,19,1,0,8,14,14,4,0,,,,8,,,#DIV/0!,32
22,28,18,1,1,,11,6,4,0,0,0,0,3,0.061,3.22,0.018944099,21
23,28,18,1,0,8,11,7,9,0,,,,6.75,,,#DIV/0!,27
24,28,18,1,1,,14,7,0,5,3,0,4,4.714285714,0.066,3.5,0.018857143,33
25,28,17,1,1,,11,17,28,8,5,0,,11.5,0.063,3.42,0.018421053,69
26,28,17,1,0,9,9,11,5,2,,,,6.75,,,#DIV/0!,27
27,28,17,1,0,7,6,0,0,,,,,2,,,#DIV/0!,6
28,28,16,1,0,8,7,14,11,5,,,,9.25,,,#DIV/0!,37
29,28,16,1,1,,0,0,5,0,0,0,0,0.714285714,0.064,3.44,0.018604651,5
30,28,16,1,1,,7,3,2,0,1,0,0,1.857142857,0.062,3.6,0.017222222,13
31,26,15,1,1,,7,7,9,2,0,0,0,3.571428571,0.065,3.55,0.018309859,25
32,26,15,1,1,,3,2,0,1,0,0,0,0.857142857,0.063,3.45,0.01826087,6
33,26,15,1,0,1,,,,,,,,0,,,#DIV/0!,0
34,26,14,1,1,,5,4,11,0,0,0,0,2.857142857,0.069,3.74,0.018449198,20
35,26,14,1,0,9,20,12,14,3,,,,12.25,,,#DIV/0!,49
36,26,14,1,0,9,11,16,14,3,,,,11,,,#DIV/0!,44
37,26,13,1,0,9,9,4,11,4,,,,7,,,#DIV/0!,28
38,26,13,1,0,11,9,7,46,20,16,,,19.6,,,#DIV/0!,98
39,26,13,1,0,17-May-24,,,,,,,,0,,,#DIV/0!,0
40,26,12,1,0,13,6,0,10,5,3,0,,4,,,#DIV/0!,24
41,26,12,1,0,8,3,3,9,0,,,,3.75,,,#DIV/0!,15
42,26,12,1,0,9,10,4,4,0,,,,4.5,,,#DIV/0!,18
43,26,11,1,0,7,1,0,6,,,,,2.333333333,,,#DIV/0!,7
44,26,11,1,1,,9,3,7,2,8,0,3,4.571428571,0.061,3.36,0.018154762,32
45,26,11,1,0,11,10,1,8,0,10,1,,5,,,#DIV/0!,30
46,24,10,1,0,5,8,0,,,,,,4,,,#DIV/0!,8
47,24,10,1,0,7,3,3,6,,,,,4,,,#DIV/0!,12
48,24,10,1,0,9,4,3,0,0,,,,1.75,,,#DIV/0!,7
49,24,9,1,0,17-May-24,,,,,,,,0,,,#DIV/0!,0
50,24,9,1,0,8,11,6,9,3,,,,7.25,,,#DIV/0!,29
51,24,9,1,1,,9,6,8,7,0,0,0,4.285714286,0.068,3.53,0.019263456,30
52,24,8,1,1,,0,0,1,1,0,0,0,0.285714286,0.077,3.95,0.019493671,2
