Species,ID,Mesocosm,Days_treatment,Temp.value,Temp.treatment,Fitness,Weight_capture,Weight_after_treatment,Survival
Pardosa sp,E25_1,E25,73,18,low,0.8900209769253822,33.37,63.07,1
Pardosa sp,E26_1,E26,73,18,low,0.5148387096774194,7.75,11.74,1
Pardosa sp,E27_1,E27,73,18,low,0.8382165605095542,7.85,14.43,1
Pardosa sp,E28_1,E28,73,18,low,0.6910401647785788,9.71,16.42,1
Pardosa sp,E30_1,E30,73,18,low,0.47551342812006314,6.33,9.34,1
Pardosa sp,E32_1,E32,73,18,low,0.6620477290223248,12.99,21.59,1
Pardosa sp,E37_1,E37,73,18,low,0.4596858638743454,9.55,13.94,1
Pardosa sp,E41_1,E41,73,18,low,0.8379272326350607,9.07,16.67,1
Pardosa sp,E43_1,E43,73,18,low,1.1098522167487683,20.3,42.83,1
Pardosa sp,E44_1,E44,73,18,low,0.8844133099824868,22.84,43.04,1
Pardosa sp,E45_1,E45,73,18,low,0.39449541284403683,14.17,19.76,1
Pardosa sp,E47_1,E47,73,18,low,0.45757864632983786,10.49,15.29,1
Pardosa sp,E48_1,E48,73,18,low,0.6726296958855098,5.59,9.35,1
Pardosa sp,E25_2,E25,73,18,low,0.7999999999999999,4.9,8.82,1
Pardosa sp,E26_2,E26,73,18,low,0.2691867124856815,8.73,11.08,1
Pardosa sp,E28_2,E28,73,18,low,0.3647260273972603,5.84,7.97,1
Pardosa sp,E30_2,E30,73,18,low,0.2609375,6.4,8.07,1
Pardosa sp,E32_2,E32,73,18,low,1.444206008583691,4.66,11.39,1
Pardosa sp,E40_2,E40,73,18,low,1.043117744610282,6.03,12.32,1
Pardosa sp,E41_2,E41,73,18,low,0.42230026338893756,11.39,16.2,1
Pardosa sp,E43_2,E43,73,18,low,2.0573514077163715,9.59,29.32,1
Pardosa sp,E45_2,E45,73,18,low,0.34057142857142864,8.75,11.73,1
Pardosa sp,E46_2,E46,73,18,low,0.1786743515850143,6.94,8.18,1
Pardosa sp,E47_2,E47,73,18,low,0.55984555984556,5.18,8.08,1
Pardosa sp,E48_2,E48,73,18,low,0.8780487804878051,4.1,7.7,1
