Temp.value,Temp.treatment,Room,System,Species,Mesocosm,Survived,Dispersed
18,low,A,A1,Pardosa sp,E25,Y,0
18,low,A,A1,Pardosa sp,E25,Y,0
18,low,A,A1,Pardosa sp,E25,Y,0
18,low,A,A1,Pardosa sp,E25,N,NA
18,low,A,A1,Pardosa sp,E25,N,NA
18,low,A,A2,Pardosa sp,E44,Y,0
18,low,A,A2,Pardosa sp,E44,Y,0
18,low,A,A2,Pardosa sp,E44,Y,0
18,low,A,A2,Pardosa sp,E44,Y,0
18,low,A,A2,Pardosa sp,E44,Y,0
18,low,A,A3,Pardosa sp,E33,Y,0
18,low,A,A3,Pardosa sp,E33,Y,0
18,low,A,A3,Pardosa sp,E33,Y,0
18,low,A,A3,Pardosa sp,E33,Y,0
18,low,A,A3,Pardosa sp,E33,N,NA
18,low,A,A4,Pardosa sp,E37,Y,0
18,low,A,A4,Pardosa sp,E37,Y,0
18,low,A,A4,Pardosa sp,E37,Y,0
18,low,A,A4,Pardosa sp,E37,Y,0
18,low,A,A4,Pardosa sp,E37,Y,0
18,low,A,A5,Pardosa sp,E41,Y,0
18,low,A,A5,Pardosa sp,E41,Y,0
18,low,A,A5,Pardosa sp,E41,Y,0
18,low,A,A5,Pardosa sp,E41,Y,0
18,low,A,A5,Pardosa sp,E41,Y,0
18,low,A,A6,Pardosa sp,E32,Y,0
18,low,A,A6,Pardosa sp,E32,Y,0
18,low,A,A6,Pardosa sp,E32,Y,0
18,low,A,A6,Pardosa sp,E32,Y,0
18,low,A,A6,Pardosa sp,E32,Y,0
18,low,A,A7,Pardosa sp,E27,Y,0
18,low,A,A7,Pardosa sp,E27,Y,0
18,low,A,A7,Pardosa sp,E27,Y,0
18,low,A,A7,Pardosa sp,E27,Y,0
18,low,A,A7,Pardosa sp,E27,N,NA
18,low,A,A8,Pardosa sp,E28,Y,0
18,low,A,A8,Pardosa sp,E28,Y,0
18,low,A,A8,Pardosa sp,E28,Y,0
18,low,A,A8,Pardosa sp,E28,Y,0
18,low,A,A8,Pardosa sp,E28,Y,0
18,low,A,A9,Pardosa sp,E45,Y,0
18,low,A,A9,Pardosa sp,E45,Y,0
18,low,A,A9,Pardosa sp,E45,Y,0
18,low,A,A9,Pardosa sp,E45,Y,0
