Species,ID,Mesocosm,Days_treatment,Temp.value,Temp.treatment,Fitness
Philoscia muscorum,E25_1,E25,42,18,opt,1
Philoscia muscorum,E26_1,E26,42,18,opt,0
Philoscia muscorum,E27_1,E27,42,18,opt,1
Philoscia muscorum,E28_1,E28,42,18,opt,1
Philoscia muscorum,E29_1,E29,42,18,opt,0
Philoscia muscorum,E30_1,E30,42,18,opt,1
Philoscia muscorum,E31_1,E31,42,18,opt,1
Philoscia muscorum,E33_1,E33,42,18,opt,1
Philoscia muscorum,E34_1,E34,42,18,opt,1
Philoscia muscorum,E35_1,E35,42,18,opt,1
Philoscia muscorum,E41_1,E41,42,18,opt,1
Philoscia muscorum,E46_1,E46,42,18,opt,1
Philoscia muscorum,E25_2,E25,42,18,opt,1
Philoscia muscorum,E27_2,E27,42,18,opt,1
Philoscia muscorum,E28_2,E28,42,18,opt,1
Philoscia muscorum,E29_2,E29,42,18,opt,1
Philoscia muscorum,E30_2,E30,42,18,opt,0
Philoscia muscorum,E31_2,E31,42,18,opt,1
Philoscia muscorum,E33_2,E33,42,18,opt,1
Philoscia muscorum,E34_2,E34,42,18,opt,1
Philoscia muscorum,E35_2,E35,42,18,opt,0
Philoscia muscorum,E46_2,E46,42,18,opt,0
Philoscia muscorum,E25_3,E25,42,22,medium.high,1
Philoscia muscorum,E26_3,E26,42,22,medium.high,1
Philoscia muscorum,E27_3,E27,42,22,medium.high,1
Philoscia muscorum,E28_3,E28,42,22,medium.high,1
Philoscia muscorum,E29_3,E29,42,22,medium.high,1
Philoscia muscorum,E30_3,E30,42,22,medium.high,0
Philoscia muscorum,E31_3,E31,42,22,medium.high,1
Philoscia muscorum,E33_3,E33,42,22,medium.high,1
Philoscia muscorum,E34_3,E34,42,22,medium.high,1
Philoscia muscorum,E35_3,E35,42,22,medium.high,0
Philoscia muscorum,E41_3,E41,42,22,medium.high,0
Philoscia muscorum,E46_3,E46,42,22,medium.high,0
Philoscia muscorum,E25_4,E25,42,22,medium.high,0
Philoscia muscorum,E26_4,E26,42,22,medium.high,1
Philoscia muscorum,E27_4,E27,42,22,medium.high,1
Philoscia muscorum,E28_4,E28,42,22,medium.high,1
Philoscia muscorum,E31_4,E31,42,22,medium.high,0
Philoscia muscorum,E33_4,E33,42,22,medium.high,1
Philoscia muscorum,E34_4,E34,42,22,medium.high,1
Philoscia muscorum,E35_4,E35,42,22,medium.high,0
Philoscia muscorum,E46_4,E46,42,22,medium.high,1
Philoscia muscorum,E25_5,E25,42,26,high,0
Philoscia muscorum,E26_5,E26,42,26,high,1
Philoscia muscorum,E27_5,E27,42,26,high,1
Philoscia muscorum,E28_5,E28,42,26,high,0
Philoscia muscorum,E29_5,E29,42,26,high,0
Philoscia muscorum,E30_5,E30,42,26,high,0
Philoscia muscorum,E31_5,E31,42,26,high,0
Philoscia muscorum,E33_5,E33,42,26,high,0
Philoscia muscorum,E34_5,E34,42,26,high,1
Philoscia muscorum,E35_5,E35,42,26,high,0
Philoscia muscorum,E41_5,E41,42,26,high,1
Philoscia muscorum,E46_5,E46,42,26,high,0
Philoscia muscorum,E25_6,E25,42,26,high,0
Philoscia muscorum,E26_6,E26,42,26,high,1
Philoscia muscorum,E30_6,E30,42,26,high,0
Philoscia muscorum,E31_6,E31,42,26,high,0
Philoscia muscorum,E33_6,E33,42,26,high,0
Philoscia muscorum,E34_6,E34,42,26,high,1
Philoscia muscorum,E35_6,E35,42,26,high,0
Philoscia muscorum,E44_6,E44,42,26,high,0
Philoscia muscorum,E46_6,E46,42,26,high,1
