"","Temp.treatment","Temp.value","Strain","Replicate","Fitness"
"1","high",39,"03_D3","1",0.0324913543595998
"2","high",39,"03_D3","2",0.0301232071196141
"3","high",39,"13_D13","1",0.0420494685321512
"4","high",39,"13_D13","2",0.0236994597963254
"5","high",39,"16_D16","1",0.00917520487064253
"6","high",39,"16_D16","2",0.0106109078783378
"7","high",39,"19_D19","1",0.021723958946023
"8","high",39,"19_D19","2",0.0256458307811026
"9","high",39,"21_D21","1",0.0413539028465858
"10","high",39,"21_D21","2",0.0429183578940115
"11","low",15,"03_D3","1",0.0261878663142785
"12","low",15,"03_D3","2",0.0256525913879418
"13","low",15,"13_D13","1",0.0187512354425673
"14","low",15,"13_D13","2",0.0217896043185807
"15","low",15,"16_D16","1",0.0170142340880372
"16","low",15,"16_D16","2",0.0182060433395192
"17","low",15,"19_D19","1",0.0236393574780859
"18","low",15,"19_D19","2",0.0247419612424035
"19","low",15,"21_D21","1",0.0477110534374533
"20","low",15,"21_D21","2",0.0452415657219123
"21","opt",31,"03_D3","1",0.0431798209120377
"22","opt",31,"03_D3","2",0.0431876750799964
"23","opt",31,"13_D13","1",0.061047172740073
"24","opt",31,"13_D13","2",0.0480513850338471
"25","opt",31,"16_D16","1",0.0443807050193438
"26","opt",31,"16_D16","2",0.0457596973974777
"27","opt",31,"19_D19","1",0.0508023284729738
"28","opt",31,"19_D19","2",0.0565114393886159
"29","opt",31,"21_D21","1",0.0545633785063975
"30","opt",31,"21_D21","2",0.0540732274490304
