species;population;round;colour;Temp.treatment;Temp.value;plate;dispersion_id;gender_egg_wave_1;days_until_adult;place_adult_female;n_eggs_on_A;n_eggs_on_bridge;Num.disp;total.N;n_survivors;n_males_egg_wave_2;n_females_egg_wave_2;Issue;Fitness;fitness_with_disp
T. cinnabarinus;Trio;A;R;opt;30;Trio 30 A;/;male;9;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Trio;A;R;opt;30;Trio 30 A;/;male;9;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Trio;A;R;opt;30;Trio 30 A;/;male;9;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Sioure;A;R;low;24;Sioure 24 A;1;female;10;On cotton next to bridge;0;0;0;0;0;0;0;;0;#N/A
T. cinnabarinus;Sioure;A;R;low;24;Sioure 24 A;2;female;10;Death on A;0;0;0;0;0;0;0;;0;#N/A
T. cinnabarinus;Sioure;A;R;low;24;Sioure 24 A;3;female;11;A;24;0;0;24;20;2;18;;1,636363636;0
T. cinnabarinus;Sioure;A;R;low;24;Sioure 24 A;4;female;12;On cotton next to B;4;0;0;4;4;1;3;;0,25;0
T. cinnabarinus;Sioure;A;R;low;24;Sioure 24 A;5;female;13;A;25;0;0;25;22;4;18;;1,384615385;0
T. cinnabarinus;Sioure;A;R;low;24;Sioure 24 A;/;male;11;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Sioure;A;R;low;24;Sioure 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Sioure;A;R;low;24;Sioure 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;low;24;Köln-3 24 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;low;24;Köln-3 24 A;/;male;9;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;low;24;Köln-3 24 A;/;male;9;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;low;24;Köln-3 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;low;24;Köln-3 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;low;24;Köln-3 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;low;24;Köln-3 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;/;male;7;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Köln-3;A;R;opt;30;Köln-3 30 A;11;female;7;A;50;0;0;50;35;27;8;;1,142857143;0
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;1;female;10;B ;0;0;0;0;0;0;0;vervelling aanwezig, was nog niet volwassen on moment on dispresie werd gezet;0;#N/A
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;6;female;11;On cotton next to A;3;0;0;3;3;2;1;;0,090909091;0
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;7;female;11;A;20;0;0;20;18;4;14;;1,272727273;0
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;8;female;11;B;0;0;25;25;17;5;12;;1,090909091;1,090909091
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;/;male;11;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;/;male;11;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;/;male;11;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Merc-1;A;R;low;24;Merc-1 24 A;/;male;11;;;;;;;;;;#N/A;#N/A
T. cinnabarinus;Merc-1;A;R;opt;30;Merc-1 30 A;1;female;9;A;5;0;0;5;5;1;4;;0,444444444;0
T. cinnabarinus;Merc-1;A;R;opt;30;Merc-1 30 A;2;female;9;A;28;0;0;28;20;5;15;;1,666666667;0
T. cinnabarinus;Merc-1;A;R;opt;30;Merc-1 30 A;3;female;9;B;1;0;30;31;16;4;12;;1,333333333;1,290322581
T. cinnabarinus;Merc-1;A;R;opt;30;Merc-1 30 A;4;female;9;A;18;0;0;18;3;0;3;;0,333333333;0
T. cinnabarinus;Merc-1;A;R;opt;30;Merc-1 30 A;5;female;9;A;0;0;0;0;0;0;0;;0;#N/A
T. cinnabarinus;Merc-1;A;R;opt;30;Merc-1 30 A;6;female;9;A;1;0;0;1;1;0;1;;0,111111111;0
