Block,Temp.treatment,Temp.value,Time,Num.nondisp,Num.disp
3,low,25,24,13,0
3,low,25,48,10,0
3,low,25,72,9,1
3,low,25,24,14,0
3,low,25,48,12,1
3,low,25,72,11,1
3,low,25,24,15,0
3,low,25,48,12,0
3,low,25,72,7,0
3,low,25,24,13,0
3,low,25,48,13,0
3,low,25,72,8,1
3,low,25,24,9,6
3,low,25,48,6,8
3,low,25,72,5,8
3,low,25,24,15,0
3,low,25,48,8,5
3,low,25,72,0,8
3,low,25,24,13,1
3,low,25,48,8,5
3,low,25,72,2,5
3,low,25,24,12,2
3,low,25,48,4,8
3,low,25,72,4,7
3,low,25,24,15,0
3,low,25,48,14,0
3,low,25,72,9,0
3,low,25,24,15,0
3,low,25,48,14,0
3,low,25,72,10,3
3,low,25,24,15,0
3,low,25,48,14,1
3,low,25,72,3,8
3,low,25,24,15,0
3,low,25,48,13,2
3,low,25,72,3,6
3,low,25,24,14,0
3,low,25,48,14,0
3,low,25,72,11,1
3,low,25,24,15,0
3,low,25,48,8,7
3,low,25,72,4,11
3,low,25,24,15,0
3,low,25,48,9,3
3,low,25,72,4,7
3,low,25,24,11,3
3,low,25,48,6,7
3,low,25,72,4,9
3,low,25,24,13,0
3,low,25,48,12,1
3,low,25,72,9,2
3,low,25,24,8,6
3,low,25,48,6,7
3,low,25,72,5,8
3,low,25,24,14,0
3,low,25,48,10,4
3,low,25,72,5,9
3,low,25,24,6,6
3,low,25,48,8,5
3,low,25,72,8,5
3,low,25,24,13,0
3,low,25,48,12,1
3,low,25,72,12,1
3,low,25,24,14,1
3,low,25,48,12,2
3,low,25,72,8,5
3,low,25,24,15,0
3,low,25,48,14,0
3,low,25,72,12,0
3,low,25,24,11,1
3,low,25,48,9,2
3,low,25,72,6,5
3,low,25,24,15,0
3,low,25,48,14,0
3,low,25,72,14,0
3,low,25,24,14,1
3,low,25,48,14,1
3,low,25,72,12,1
3,low,25,24,15,1
3,low,25,48,14,1
3,low,25,72,8,6
3,low,25,24,13,0
3,low,25,48,11,0
3,low,25,72,10,0
3,low,25,24,15,0
3,low,25,48,10,1
