species;population;round;colour;Temp.treatment;Temp.value;plate;dispersion_id;gender_egg_wave_1;days_until_adult;place_adult_female;n_eggs_on_A;n_eggs_on_bridge;Num.disp;total.N;n_survivors;n_males_egg_wave_2;n_females_egg_wave_2;Issue;Fitness;fitness_with_disp
T. turkestani;Ras;A;G;low;24;Ras 24 A;1;female;10;A;22;0;0;22;15;4;11;;1,1;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;2;female;10;A;22;0;0;22;18;5;13;;1,3;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;3;female;10;A;14;0;0;14;11;10;1;;0,1;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;4;female;10;Death on A;1;0;0;1;1;1;0;;0;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;5;female;11;A;29;0;0;29;22;10;12;;1,09;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;6;female;11;A;25;0;0;25;9;3;6;;0,55;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;7;female;11;A;28;0;0;28;23;4;19;;1,73;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;8;female;11;A;26;0;0;26;22;11;11;;1;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;9;female;11;A;27;0;0;27;20;5;15;;1,36;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;10;female;11;A;21;0;0;21;19;8;11;;1;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;11;female;11;A;10;0;0;10;8;4;4;;0,36;0
T. turkestani;Ras;A;G;low;24;Ras 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. turkestani;Ras;A;G;low;24;Ras 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. turkestani;Ras;A;G;low;24;Ras 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. turkestani;Ras;A;G;low;24;Ras 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. turkestani;Ras;A;G;low;24;Ras 24 A;/;male;10;;;;;;;;;;#N/A;#N/A
T. turkestani;Ras;A;G;opt;30;Ras 30 A;1;female;9;A;24;0;0;24;23;15;8;;0,89;0
