Temp.treatment,Temp.value,Strain,Fitness
low,18,S,3.304875472
low,18,S,2.926670034
low,18,S,2.36940404
low,18,S,4.221058824
low,18,S,2.755068852
low,18,S,4.013943333
low,18,E,1.385695946
low,18,E,1.692827068
low,18,E,1.412545763
low,18,E,2.505956863
low,18,E,1.168477966
low,18,E,1.214094077
low,18,AHP,0.44303537
low,18,AHP,0.09311875
low,18,AHP,1.14014652
low,18,AHP,1.145350763
low,18,AHP,0.227265957
low,18,AHP,1.025290625
opt,25,S,9.750126168
opt,25,S,10.0978871
opt,25,S,7.293732283
opt,25,S,5.855212121
opt,25,S,5.383452756
opt,25,S,9.713184549
opt,25,E,6.033148936
opt,25,E,3.362335907
opt,25,E,7.117290816
opt,25,E,5.764310484
opt,25,E,8.53514346
opt,25,E,6.859630332
opt,25,AHP,4.037733553
opt,25,AHP,2.898111675
opt,25,AHP,4.773164087
opt,25,AHP,5.974091304
opt,25,AHP,3.91715493
opt,25,AHP,4.423686709
high,30,E,5.392092511
high,30,E,3.838823256
high,30,E,4.478603636
high,30,E,2.956469697
high,30,E,5.763399225
high,30,E,3.115145522
high,30,S,5.960242424
high,30,S,5.261480469
high,30,S,4.842580247
high,30,S,6.315013575
high,30,S,5.030950495
high,30,S,6.688584314
high,30,AHP,4.918844358
high,30,AHP,5.395494424
high,30,AHP,4.691012097
high,30,AHP,5.494317647
high,30,AHP,4.404617978
high,30,AHP,4.254473485
