study,dispersal.pattern
Aphanomyces.euteiches,U
Armadillidium.vulgare,U
Bigelowiellia.natans,hump
Callosobruchus.maculatus,U
Folsomia.candida,decreasing
Gryllus.campestris,hump
Notonecta.undulata,increasing
Pardosa.sp,increasing
Philoscia.muscorum,hump
Pisaura.mirabilis,U
Pteronemobius.heydenii,hump
Tetrahymena.thermophila_ISEM,hump
Tetrahymena.thermophila,increasing
Tetranychus.cinnabarinus_PT,increasing
Tetranychus.cinnabarinus,decreasing
Tetranychus.evansi,U
Tetranychus.turkestani,hump
Tetranychus.urticae,decreasing
Trichogramma.cacoeciae,U
