study,Genus,species_st,species,fitness.formula,fitness.fixed.mixed,dispersal.formula,dispersal.fixed.mixed,dispersal.formula.simple
Bigelowiellia.natans,Bigelowiellia,natans,natans,log(Fitness) ~ Temp.treatment,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment",fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment"
Tetranychus.cinnabarinus_PT,Tetranychus,cinnabarinus_PT,cinnabarinus,Fitness ~ Temp.treatment + (1 | Female_survival),mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment * Time + (1 | Block)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment"
Tetranychus.evansi,Tetranychus,evansi,evansi,sqrt(Fitness) ~ Temp.treatment,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|block)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment"
Folsomia.candida,Folsomia,candida,candida,Fitness ~ Temp.treatment,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|Group) + (1|Block)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment"
Tetrahymena.thermophila_ISEM,Tetrahymena,thermophila_ISEM,thermophila,Fitness ~ Temp.treatment,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|Index)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment"
Trichogramma.cacoeciae,Trichogramma,cacoeciae,cacoeciae,Fitness ~ Temp.treatment + (1|Strain),mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|Observation)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment"
Tetrahymena.thermophila,Tetrahymena,thermophila,thermophila,Fitness ~ Temp.treatment + (1|Strain),mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|Strain)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment"
Aphanomyces.euteiches,Aphanomyces,euteiches,euteiches,log(Fitness) ~ Temp.treatment*Strain,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment*Strain",fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment"
Tetranychus.turkestani,Tetranychus,turkestani,turkestani,Fitness ~ Temp.treatment + (1 | dispersion_id),mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment + (1 | dispersion_id)",mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment"
Tetranychus.cinnabarinus,Tetranychus,cinnabarinus,cinnabarinus,Fitness ~ temp_treatment + (1 | plate),mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment + (1 | plate)",mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment"
Tetranychus.urticae,Tetranychus,urticae,urticae,Fitness ~ temp_treatment + (1 | plate),mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment + (1 | plate)",mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment"
Armadillidium.vulgare,Armadillidium,vulgare,vulgare,Fitness ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment
Gryllus.campestris,Gryllus,campestris,campestris,Fitness ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment
Notonecta.undulata,Notonecta,undulata,undulata,log(Fitness + 1) ~ Temp.treatment + (1|Block/Mesocosm),mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment
Pardosa.sp,Pardosa,sp,sp,log(Fitness) ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment
Philoscia.muscorum,Philoscia,muscorum,muscorum,Fitness ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment
Pisaura.mirabilis,Pisaura,mirabilis,mirabilis,log(Fitness) ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment
Pteronemobius.heydenii,Pteronemobius,heydenii,heydenii,Fitness ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment
Callosobruchus.maculatus,Callosobruchus,maculatus,maculatus,Fitness ~ Temp.treatment,fixed,Dispersed ~ Temp.treatment + Sex + Length + (1|Group),mixed,Dispersed ~ Temp.treatment
