study,Genus,species_st,species,fitness.formula,fitness.formula.simple,fitness.model,fitness.distribution,fitness.fixed.mixed,dispersal.formula,dispersal.fixed.mixed,dispersal.formula.simple,dispersal.model
Aphanomyces.euteiches,Aphanomyces,euteiches,euteiches,log(Fitness) ~ Temp.treatment*Strain,log(Fitness) ~ Temp.treatment,"lm(fitness.formula, data = d_phase1)",normal,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment*Strain",fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment","glm(dispersal.formula, family = ""binomial"", data = d_phase2)"
Armadillidium.vulgare,Armadillidium,vulgare,vulgare,Fitness ~ Temp.treatment + (1|Mesocosm),Fitness ~ Temp.treatment,"glmer(fitness.formula, family = binomial, data = d_phase1)",binomial,mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment,"glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Bigelowiellia.natans,Bigelowiellia,natans,natans,log(Fitness) ~ Temp.treatment,log(Fitness) ~ Temp.treatment,"lm(fitness.formula, data = d_phase1)",normal,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment",fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment","glm(dispersal.formula, family = ""binomial"", data = d_phase2)"
Callosobruchus.maculatus,Callosobruchus,maculatus,maculatus,Fitness ~ Temp.treatment,Fitness ~ Temp.treatment,"lm(fitness.formula, data = d_phase1)",normal,fixed,Dispersed ~ Temp.treatment + Sex + Length + (1|Group),mixed,Dispersed ~ Temp.treatment,"glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Folsomia.candida,Folsomia,candida,candida,Fitness ~ Temp.treatment,Fitness ~ Temp.treatment,"lm(fitness.formula, data = d_phase1)",normal,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|Group) + (1|Block)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment","glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Gryllus.campestris,Gryllus,campestris,campestris,Fitness ~ Temp.treatment + (1|Mesocosm),Fitness ~ Temp.treatment,"lmer(fitness.formula, data = d_phase1)",binomial,mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment,"glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Notonecta.undulata,Notonecta,undulata,undulata,log(Fitness + 1) ~ Temp.treatment + (1|Block/Mesocosm),log(Fitness + 1) ~ Temp.treatment,"lmer(fitness.formula, data = d_phase1)",normal,mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment,"glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Pardosa.sp,Pardosa,sp,sp,log(Fitness) ~ Temp.treatment + (1|Mesocosm),log(Fitness) ~ Temp.treatment,"lmer(fitness.formula, data = d_phase1)",normal,mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment,"glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Philoscia.muscorum,Philoscia,muscorum,muscorum,Fitness ~ Temp.treatment + (1|Mesocosm),Fitness ~ Temp.treatment,"glmer(fitness.formula, family = binomial, data = d_phase1)",binomial,mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment,"glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Pisaura.mirabilis,Pisaura,mirabilis,mirabilis,log(Fitness) ~ Temp.treatment + (1|Mesocosm),log(Fitness) ~ Temp.treatment,"lmer(fitness.formula, data = d_phase1)",normal,mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment,"glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Pteronemobius.heydenii,Pteronemobius,heydenii,heydenii,Fitness ~ Temp.treatment + (1|Mesocosm),Fitness ~ Temp.treatment,"glmer(fitness.formula, family = binomial, data = d_phase1)",binomial,mixed,Dispersed ~ Temp.treatment + (1|Mesocosm),mixed,Dispersed ~ Temp.treatment,"glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Tetrahymena.thermophila,Tetrahymena,thermophila,thermophila,Fitness ~ Temp.treatment + (1|Strain),Fitness ~ Temp.treatment,"lmer(fitness.formula, data = d_phase1)",normal,mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|Strain)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment","glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Tetrahymena.thermophila_ISEM,Tetrahymena,thermophila_ISEM,thermophila,Fitness ~ Temp.treatment,Fitness ~ Temp.treatment,"lm(fitness.formula, data = d_phase1)",normal,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|Index)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment","glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Tetranychus.cinnabarinus,Tetranychus,cinnabarinus,cinnabarinus,Fitness ~ temp_treatment + (1 | plate),Fitness ~ temp_treatment,"glmmTMB(Fitness ~ Temp.treatment + (1|population) + (1|plate), family = tweedie(), data = d_phase1)",normal,mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment + (1 | plate)",mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment","glmmTMB(cbind(Num.disp, n_eggs_on_A) ~ Temp.treatment + (1|population) + (1 | plate), family = betabinomial(), data = d_phase2)"
Tetranychus.cinnabarinus_PT,Tetranychus,cinnabarinus_PT,cinnabarinus,Fitness ~ Temp.treatment + (1 | Female_survival),Fitness ~ Temp.treatment,? Questions about how this was done/why,normal,mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment * Time + (1 | Block)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment","glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Tetranychus.evansi,Tetranychus,evansi,evansi,sqrt(Fitness) ~ Temp.treatment,sqrt(Fitness) ~ Temp.treatment,"lm(fitness.formula, data = d_phase1)",normal,fixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|block)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment","glmer(dispersal.formula, family = ""binomial"", data = d_phase2)"
Tetranychus.turkestani,Tetranychus,turkestani,turkestani,Fitness ~ Temp.treatment + (1 | dispersion_id),Fitness ~ Temp.treatment,"glmmTMB(Fitness~ Temp.treatment + (1|plate), family = tweedie(), data = d_phase1)",normal,mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment + (1 | dispersion_id)",mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment","glmmTMB(cbind(Num.disp, n_eggs_on_A) ~ Temp.treatment  + (1 | plate), family = betabinomial(), data = d_phase2)"
Tetranychus.urticae,Tetranychus,urticae,urticae,Fitness ~ temp_treatment + (1 | plate),Fitness ~ Temp.treatment,"glmmTMB(Fitness~ Temp.treatment + (1|population) + (1|plate), family = tweedie(), data = d_phase1)",tweedie,mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment + (1 | plate)",mixed,"cbind(Num.disp, total.N - Num.disp) ~ Temp.treatment","glmmTMB(cbind(Num.disp, n_eggs_on_A) ~ Temp.treatment + (1|population) + (1 | plate), family = betabinomial(), data = d_phase2)"
Trichogramma.cacoeciae,Trichogramma,cacoeciae,cacoeciae,Fitness ~ Temp.treatment + (1|Strain),Fitness ~ Temp.treatment,"lmer(fitness.formula, data = d_phase1)",normal,mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment + (1|Observation)",mixed,"cbind(Num.disp, Num.nondisp) ~ Temp.treatment","glmer.nb(dispersal.formula, data = d_phase2)"
