"Species","ID","Mesocosm","Days_treatment","Temp.value","Temp.treatment","Fitness"
"Gryllus campestris","E25_1","E25",73,18,"low",0
"Gryllus campestris","E34_1","E34",73,18,"low",1
"Gryllus campestris","E37_1","E37",73,18,"low",0
"Gryllus campestris","E38_1","E38",73,18,"low",1
"Gryllus campestris","E39_1","E39",73,18,"low",0
"Gryllus campestris","E42_1","E42",73,18,"low",0
"Gryllus campestris","E43_1","E43",73,18,"low",1
"Gryllus campestris","E44_1","E44",73,18,"low",1
"Gryllus campestris","E25_2","E25",73,18,"low",0
"Gryllus campestris","E34_2","E34",73,18,"low",0
"Gryllus campestris","E37_2","E37",73,18,"low",0
"Gryllus campestris","E38_2","E38",73,18,"low",1
"Gryllus campestris","E39_2","E39",73,18,"low",1
"Gryllus campestris","E43_2","E43",73,18,"low",0
"Gryllus campestris","E44_2","E44",73,18,"low",1
"Gryllus campestris","E25_3","E25",73,22,"medium.low",0
"Gryllus campestris","E34_3","E34",73,22,"medium.low",1
"Gryllus campestris","E37_3","E37",73,22,"medium.low",1
"Gryllus campestris","E38_3","E38",73,22,"medium.low",1
"Gryllus campestris","E39_3","E39",73,22,"medium.low",0
"Gryllus campestris","E42_3","E42",73,22,"medium.low",NA
"Gryllus campestris","E43_3","E43",73,22,"medium.low",1
"Gryllus campestris","E44_3","E44",73,22,"medium.low",0
"Gryllus campestris","E25_4","E25",73,22,"medium.low",1
"Gryllus campestris","E34_4","E34",73,22,"medium.low",1
"Gryllus campestris","E37_4","E37",73,22,"medium.low",0
"Gryllus campestris","E38_4","E38",73,22,"medium.low",0
"Gryllus campestris","E39_4","E39",73,22,"medium.low",1
"Gryllus campestris","E43_4","E43",73,22,"medium.low",0
"Gryllus campestris","E44_4","E44",73,22,"medium.low",0
"Gryllus campestris","E25_5","E25",73,26,"opt",1
"Gryllus campestris","E34_5","E34",73,26,"opt",1
"Gryllus campestris","E37_5","E37",73,26,"opt",1
"Gryllus campestris","E38_5","E38",73,26,"opt",0
"Gryllus campestris","E39_5","E39",73,26,"opt",1
"Gryllus campestris","E42_5","E42",73,26,"opt",1
"Gryllus campestris","E43_5","E43",73,26,"opt",0
"Gryllus campestris","E44_5","E44",73,26,"opt",1
"Gryllus campestris","E25_6","E25",73,26,"opt",1
"Gryllus campestris","E34_6","E34",73,26,"opt",1
"Gryllus campestris","E37_6","E37",73,26,"opt",1
"Gryllus campestris","E38_6","E38",73,26,"opt",1
"Gryllus campestris","E39_6","E39",73,26,"opt",0
"Gryllus campestris","E43_6","E43",73,26,"opt",1
"Gryllus campestris","E44_6","E44",73,26,"opt",1
