"Species","ID","Mesocosm","Days_treatment","Temp.value","Temp.treatment","Fitness","Weight_capture","Weight_after_treatment","Survival"
"Pardosa sp","E25_1","E25",73,18,"low",0.890020976925382,33.37,63.07,1
"Pardosa sp","E26_1","E26",73,18,"low",0.514838709677419,7.75,11.74,1
"Pardosa sp","E27_1","E27",73,18,"low",0.838216560509554,7.85,14.43,1
"Pardosa sp","E28_1","E28",73,18,"low",0.691040164778579,9.71,16.42,1
"Pardosa sp","E30_1","E30",73,18,"low",0.475513428120063,6.33,9.34,1
"Pardosa sp","E32_1","E32",73,18,"low",0.662047729022325,12.99,21.59,1
"Pardosa sp","E37_1","E37",73,18,"low",0.459685863874345,9.55,13.94,1
"Pardosa sp","E41_1","E41",73,18,"low",0.837927232635061,9.07,16.67,1
"Pardosa sp","E43_1","E43",73,18,"low",1.10985221674877,20.3,42.83,1
"Pardosa sp","E44_1","E44",73,18,"low",0.884413309982487,22.84,43.04,1
"Pardosa sp","E45_1","E45",73,18,"low",0.394495412844037,14.17,19.76,1
"Pardosa sp","E47_1","E47",73,18,"low",0.457578646329838,10.49,15.29,1
"Pardosa sp","E48_1","E48",73,18,"low",0.67262969588551,5.59,9.35,1
"Pardosa sp","E25_2","E25",73,18,"low",0.8,4.9,8.82,1
"Pardosa sp","E26_2","E26",73,18,"low",0.269186712485681,8.73,11.08,1
"Pardosa sp","E28_2","E28",73,18,"low",0.36472602739726,5.84,7.97,1
"Pardosa sp","E30_2","E30",73,18,"low",0.2609375,6.4,8.07,1
"Pardosa sp","E32_2","E32",73,18,"low",1.44420600858369,4.66,11.39,1
"Pardosa sp","E40_2","E40",73,18,"low",1.04311774461028,6.03,12.32,1
"Pardosa sp","E41_2","E41",73,18,"low",0.422300263388938,11.39,16.2,1
"Pardosa sp","E43_2","E43",73,18,"low",2.05735140771637,9.59,29.32,1
"Pardosa sp","E45_2","E45",73,18,"low",0.340571428571429,8.75,11.73,1
"Pardosa sp","E46_2","E46",73,18,"low",0.178674351585014,6.94,8.18,1
"Pardosa sp","E47_2","E47",73,18,"low",0.55984555984556,5.18,8.08,1
"Pardosa sp","E48_2","E48",73,18,"low",0.878048780487805,4.1,7.7,1
"Pardosa sp","E25_3","E25",73,22,"medium.low",1.90636042402827,16.98,49.35,1
"Pardosa sp","E26_3","E26",73,22,"medium.low",1.34555984555985,5.18,12.15,1
"Pardosa sp","E32_3","E32",73,22,"medium.low",1.10359536867764,16.41,34.52,1
"Pardosa sp","E37_3","E37",73,22,"medium.low",0.417287630402384,6.71,9.51,1
"Pardosa sp","E40_3","E40",73,22,"medium.low",0.69983416252073,6.03,10.25,1
"Pardosa sp","E41_3","E41",73,22,"medium.low",NA,NA,15.55,1
"Pardosa sp","E43_3","E43",73,22,"medium.low",0.887894736842105,19,35.87,1
"Pardosa sp","E44_3","E44",73,22,"medium.low",0.599206349206349,22.68,36.27,1
"Pardosa sp","E45_3","E45",73,22,"medium.low",0.992929292929293,9.9,19.73,1
"Pardosa sp","E47_3","E47",73,22,"medium.low",0.762068965517242,5.8,10.22,1
"Pardosa sp","E48_3","E48",73,22,"medium.low",0.393617021276596,5.64,7.86,1
"Pardosa sp","E25_4","E25",73,22,"medium.low",1.63023255813954,4.3,11.31,1
"Pardosa sp","E26_4","E26",73,22,"medium.low",0.981538461538462,6.5,12.88,1
"Pardosa sp","E27_4","E27",73,22,"medium.low",1.20833333333333,4.8,10.6,1
"Pardosa sp","E28_4","E28",73,22,"medium.low",0.877496671105193,7.51,14.1,1
"Pardosa sp","E30_4","E30",73,22,"medium.low",1.3759842519685,5.08,12.07,1
"Pardosa sp","E32_4","E32",73,22,"medium.low",0.349413298565841,7.67,10.35,1
"Pardosa sp","E37_4","E37",73,22,"medium.low",1.83631713554987,3.91,11.09,1
"Pardosa sp","E40_4","E40",73,22,"medium.low",0.576642335766423,5.48,8.64,1
"Pardosa sp","E41_4","E41",73,22,"medium.low",0.623249299719888,7.14,11.59,1
"Pardosa sp","E43_4","E43",73,22,"medium.low",0.99895724713243,9.59,19.17,1
"Pardosa sp","E44_4","E44",73,22,"medium.low",0.785562632696391,14.13,25.23,1
"Pardosa sp","E45_4","E45",73,22,"medium.low",1.45207439198856,6.99,17.14,1
"Pardosa sp","E46_4","E46",73,22,"medium.low",0.678571428571429,5.6,9.4,1
"Pardosa sp","E47_4","E47",73,22,"medium.low",1.24334600760456,5.26,11.8,1
"Pardosa sp","E48_4","E48",73,22,"medium.low",0.878172588832487,3.94,7.4,1
"Pardosa sp","E25_5","E25",73,26,"opt",2.61697990926766,15.43,55.81,1
"Pardosa sp","E27_5","E27",73,26,"opt",0.571189279731994,5.97,9.38,1
"Pardosa sp","E32_5","E32",73,26,"opt",1.1969696969697,9.24,20.3,1
"Pardosa sp","E40_5","E40",73,26,"opt",0.884135472370766,5.61,10.57,1
"Pardosa sp","E41_5","E41",73,26,"opt",2.08343711083437,8.03,24.76,1
"Pardosa sp","E44_5","E44",73,26,"opt",0.20303605313093,15.81,19.02,1
"Pardosa sp","E45_5","E45",73,26,"opt",1.18421052631579,11.4,24.9,1
"Pardosa sp","E46_5","E46",73,26,"opt",1.34907251264755,5.93,13.93,1
"Pardosa sp","E47_5","E47",73,26,"opt",0.755102040816326,6.37,11.18,1
"Pardosa sp","E48_5","E48",73,26,"opt",1.45276292335116,5.61,13.76,1
"Pardosa sp","E25_6","E25",73,26,"opt",3.44493392070485,4.54,20.18,1
"Pardosa sp","E27_6","E27",73,26,"opt",3.41163310961969,4.47,19.72,1
"Pardosa sp","E28_6","E28",73,26,"opt",1.37451737451737,7.77,18.45,1
"Pardosa sp","E30_6","E30",73,26,"opt",2.40338983050847,5.9,20.08,1
"Pardosa sp","E32_6","E32",73,26,"opt",1.0026075619296,7.67,15.36,1
"Pardosa sp","E37_6","E37",73,26,"opt",3.97160883280757,3.17,15.76,1
"Pardosa sp","E40_6","E40",73,26,"opt",1.98129496402878,6.95,20.72,1
"Pardosa sp","E41_6","E41",73,26,"opt",2.35354838709677,7.75,25.99,1
"Pardosa sp","E44_6","E44",73,26,"opt",1.37296037296037,8.58,20.36,1
"Pardosa sp","E45_6","E45",73,26,"opt",0.661184210526316,6.08,10.1,1
