"Species","ID","Mesocosm","Days_treatment","Temp.value","Temp.treatment","Fitness","Weight_capture","Weight_after_treatment","Survival"
"Pisaura mirabilis","E25_1","E25",73,18,"low",2.23254029163469,13.03,42.12,1
"Pisaura mirabilis","E26_1","E26",73,18,"low",2.03482210446631,13.21,40.09,1
"Pisaura mirabilis","E27_1","E27",73,18,"low",1.28674006701771,20.89,47.77,1
"Pisaura mirabilis","E29_1","E29",73,18,"low",1.4177545691906,11.49,27.78,1
"Pisaura mirabilis","E30_1","E30",73,18,"low",1.10644418872267,17.38,36.61,1
"Pisaura mirabilis","E33_1","E33",73,18,"low",1.52209781968179,16.97,42.8,1
"Pisaura mirabilis","E34_1","E34",73,18,"low",1.34648648648649,18.5,43.41,1
"Pisaura mirabilis","E37_1","E37",73,18,"low",2.0983606557377,11.59,35.91,1
"Pisaura mirabilis","E38_1","E38",73,18,"low",1.9805942995755,16.49,49.15,1
"Pisaura mirabilis","E41_1","E41",73,18,"low",2.33207831325301,13.28,44.25,1
"Pisaura mirabilis","E46_1","E46",73,18,"low",1.41834774255524,20.82,50.35,1
"Pisaura mirabilis","E25_2","E25",73,18,"low",3.52402234636872,8.95,40.49,1
"Pisaura mirabilis","E26_2","E26",73,18,"low",2.28162291169451,12.57,41.25,1
"Pisaura mirabilis","E29_2","E29",73,18,"low",3.0307486631016,7.48,30.15,1
"Pisaura mirabilis","E30_2","E30",73,18,"low",4.90367775831874,5.71,33.71,1
"Pisaura mirabilis","E34_2","E34",73,18,"low",2.58499413833529,8.53,30.58,1
"Pisaura mirabilis","E37_2","E37",73,18,"low",4.74611398963731,5.79,33.27,1
"Pisaura mirabilis","E41_2","E41",73,18,"low",1.95910418695229,10.27,30.39,1
"Pisaura mirabilis","E46_2","E46",73,18,"low",1.60374832663989,7.47,19.45,1
"Pisaura mirabilis","E25_3","E25",73,22,"medium.low",5.65806451612903,7.75,51.6,1
"Pisaura mirabilis","E26_3","E26",73,22,"medium.low",2.53017944535073,12.26,43.28,1
"Pisaura mirabilis","E27_3","E27",73,22,"medium.low",1.40168243953733,19.02,45.68,1
"Pisaura mirabilis","E29_3","E29",73,22,"medium.low",4.27994616419919,7.43,39.23,1
"Pisaura mirabilis","E30_3","E30",73,22,"medium.low",0.947542794036444,18.11,35.27,1
"Pisaura mirabilis","E33_3","E33",73,22,"medium.low",2.70864946889226,13.18,48.88,1
"Pisaura mirabilis","E34_3","E34",73,22,"medium.low",3.72717271727173,9.09,42.97,1
"Pisaura mirabilis","E37_3","E37",73,22,"medium.low",4.19107551487414,8.74,45.37,1
"Pisaura mirabilis","E41_3","E41",73,22,"medium.low",2.67700258397933,11.61,42.69,1
"Pisaura mirabilis","E46_3","E46",73,22,"medium.low",1.24666030534351,20.96,47.09,1
"Pisaura mirabilis","E25_4","E25",73,22,"medium.low",5.7431906614786,5.14,34.66,1
"Pisaura mirabilis","E26_4","E26",73,22,"medium.low",2.58623771224307,11.19,40.13,1
"Pisaura mirabilis","E27_4","E27",73,22,"medium.low",2.28326530612245,12.25,40.22,1
"Pisaura mirabilis","E29_4","E29",73,22,"medium.low",3.4234693877551,5.88,26.01,1
"Pisaura mirabilis","E30_4","E30",73,22,"medium.low",5.05016722408027,5.98,36.18,1
"Pisaura mirabilis","E33_4","E33",73,22,"medium.low",4.66603415559772,5.27,29.86,1
"Pisaura mirabilis","E34_4","E34",73,22,"medium.low",2.4521484375,10.24,35.35,1
"Pisaura mirabilis","E37_4","E37",73,22,"medium.low",5.76636904761905,6.72,45.47,1
"Pisaura mirabilis","E46_4","E46",73,22,"medium.low",1.36773883821411,20.83,49.32,1
"Pisaura mirabilis","E25_5","E25",73,26,"opt",3.07253886010363,9.65,39.3,1
"Pisaura mirabilis","E26_5","E26",73,26,"opt",3.51711711711712,11.1,50.14,1
"Pisaura mirabilis","E27_5","E27",73,26,"opt",1.10765765765766,22.2,46.79,1
"Pisaura mirabilis","E29_5","E29",73,26,"opt",4.70534351145038,6.55,37.37,1
"Pisaura mirabilis","E34_5","E34",73,26,"opt",2.25609756097561,11.48,37.38,1
"Pisaura mirabilis","E37_5","E37",73,26,"opt",6.61904761904762,6.09,46.4,1
"Pisaura mirabilis","E38_5","E38",73,26,"opt",2.47769784172662,13.9,48.34,1
"Pisaura mirabilis","E41_5","E41",73,26,"opt",4.11500547645126,9.13,46.7,1
"Pisaura mirabilis","E46_5","E46",73,26,"opt",1.70408825438027,15.41,41.67,1
"Pisaura mirabilis","E25_6","E25",73,26,"opt",6.44961240310077,3.87,28.83,1
"Pisaura mirabilis","E26_6","E26",73,26,"opt",3.18518518518519,10.53,44.07,1
"Pisaura mirabilis","E27_6","E27",73,26,"opt",4.29639175257732,7.76,41.1,1
"Pisaura mirabilis","E29_6","E29",73,26,"opt",4.96457326892109,6.21,37.04,1
"Pisaura mirabilis","E33_6","E33",73,26,"opt",2.45468873128448,12.69,43.84,1
"Pisaura mirabilis","E34_6","E34",73,26,"opt",6.98173515981735,6.57,52.44,1
"Pisaura mirabilis","E37_6","E37",73,26,"opt",2.64170212765957,11.75,42.79,1
"Pisaura mirabilis","E38_6","E38",73,26,"opt",3.2569573283859,10.78,45.89,1
"Pisaura mirabilis","E41_6","E41",73,26,"opt",4.24005681818182,7.04,36.89,1
"Pisaura mirabilis","E46_6","E46",73,26,"opt",1.48731343283582,13.4,33.33,1
