"Species","ID","Mesocosm","Days_treatment","Temp.value","Temp.treatment","Fitness"
"Pteronemobius heydenii","E31_1","E31",23,18,"opt",1
"Pteronemobius heydenii","E32_1","E32",23,18,"opt",NA
"Pteronemobius heydenii","E34_1","E34",23,18,"opt",1
"Pteronemobius heydenii","E35_1","E35",23,18,"opt",1
"Pteronemobius heydenii","E38_1","E38",23,18,"opt",1
"Pteronemobius heydenii","E39_1","E39",23,18,"opt",1
"Pteronemobius heydenii","E42_1","E42",23,18,"opt",1
"Pteronemobius heydenii","E43_1","E43",23,18,"opt",1
"Pteronemobius heydenii","E44_1","E44",23,18,"opt",1
"Pteronemobius heydenii","E46_1","E46",23,18,"opt",1
"Pteronemobius heydenii","E47_1","E47",23,18,"opt",0
"Pteronemobius heydenii","E31_2","E31",23,18,"opt",1
"Pteronemobius heydenii","E32_2","E32",23,18,"opt",0
"Pteronemobius heydenii","E34_2","E34",23,18,"opt",1
"Pteronemobius heydenii","E35_2","E35",23,18,"opt",1
"Pteronemobius heydenii","E38_2","E38",23,18,"opt",1
"Pteronemobius heydenii","E39_2","E39",23,18,"opt",1
"Pteronemobius heydenii","E42_2","E42",23,18,"opt",0
"Pteronemobius heydenii","E43_2","E43",23,18,"opt",1
"Pteronemobius heydenii","E44_2","E44",23,18,"opt",1
"Pteronemobius heydenii","E46_2","E46",23,18,"opt",0
"Pteronemobius heydenii","E47_2","E47",23,18,"opt",0
"Pteronemobius heydenii","E31_3","E31",23,22,"medium.high",1
"Pteronemobius heydenii","E32_3","E32",23,22,"medium.high",0
"Pteronemobius heydenii","E34_3","E34",23,22,"medium.high",0
"Pteronemobius heydenii","E35_3","E35",23,22,"medium.high",1
"Pteronemobius heydenii","E38_3","E38",23,22,"medium.high",0
"Pteronemobius heydenii","E39_3","E39",23,22,"medium.high",1
"Pteronemobius heydenii","E42_3","E42",23,22,"medium.high",1
"Pteronemobius heydenii","E43_3","E43",23,22,"medium.high",1
"Pteronemobius heydenii","E44_3","E44",23,22,"medium.high",1
"Pteronemobius heydenii","E46_3","E46",23,22,"medium.high",0
"Pteronemobius heydenii","E47_3","E47",23,22,"medium.high",1
"Pteronemobius heydenii","E31_4","E31",23,22,"medium.high",0
"Pteronemobius heydenii","E32_4","E32",23,22,"medium.high",0
"Pteronemobius heydenii","E34_4","E34",23,22,"medium.high",1
"Pteronemobius heydenii","E35_4","E35",23,22,"medium.high",1
"Pteronemobius heydenii","E38_4","E38",23,22,"medium.high",1
"Pteronemobius heydenii","E39_4","E39",23,22,"medium.high",1
"Pteronemobius heydenii","E42_4","E42",23,22,"medium.high",0
"Pteronemobius heydenii","E43_4","E43",23,22,"medium.high",0
"Pteronemobius heydenii","E44_4","E44",23,22,"medium.high",1
"Pteronemobius heydenii","E46_4","E46",23,22,"medium.high",1
"Pteronemobius heydenii","E47_4","E47",23,22,"medium.high",0
"Pteronemobius heydenii","E31_5","E31",23,26,"high",0
"Pteronemobius heydenii","E32_5","E32",23,26,"high",0
"Pteronemobius heydenii","E34_5","E34",23,26,"high",0
"Pteronemobius heydenii","E35_5","E35",23,26,"high",1
"Pteronemobius heydenii","E38_5","E38",23,26,"high",0
"Pteronemobius heydenii","E39_5","E39",23,26,"high",1
"Pteronemobius heydenii","E42_5","E42",23,26,"high",0
"Pteronemobius heydenii","E43_5","E43",23,26,"high",1
"Pteronemobius heydenii","E44_5","E44",23,26,"high",0
"Pteronemobius heydenii","E46_5","E46",23,26,"high",1
"Pteronemobius heydenii","E47_5","E47",23,26,"high",1
"Pteronemobius heydenii","E31_6","E31",23,26,"high",0
"Pteronemobius heydenii","E32_6","E32",23,26,"high",0
"Pteronemobius heydenii","E34_6","E34",23,26,"high",0
"Pteronemobius heydenii","E35_6","E35",23,26,"high",1
"Pteronemobius heydenii","E38_6","E38",23,26,"high",1
"Pteronemobius heydenii","E39_6","E39",23,26,"high",1
"Pteronemobius heydenii","E42_6","E42",23,26,"high",0
"Pteronemobius heydenii","E43_6","E43",23,26,"high",0
"Pteronemobius heydenii","E44_6","E44",23,26,"high",0
"Pteronemobius heydenii","E46_6","E46",23,26,"high",0
