"Temp.treatment","Temp.value","Strain","Replicate","Fitness"
"high",39,"03_D3",1,0.0324913543595998
"high",39,"03_D3",2,0.0301232071196141
"high",39,"13_D13",1,0.0420494685321512
"high",39,"13_D13",2,0.0236994597963254
"high",39,"16_D16",1,0.00917520487064253
"high",39,"16_D16",2,0.0106109078783378
"high",39,"19_D19",1,0.021723958946023
"high",39,"19_D19",2,0.0256458307811026
"high",39,"21_D21",1,0.0413539028465858
"high",39,"21_D21",2,0.0429183578940115
"low",15,"03_D3",1,0.0261878663142785
"low",15,"03_D3",2,0.0256525913879418
"low",15,"13_D13",1,0.0187512354425673
"low",15,"13_D13",2,0.0217896043185807
"low",15,"16_D16",1,0.0170142340880372
"low",15,"16_D16",2,0.0182060433395192
"low",15,"19_D19",1,0.0236393574780859
"low",15,"19_D19",2,0.0247419612424035
"low",15,"21_D21",1,0.0477110534374533
"low",15,"21_D21",2,0.0452415657219123
"opt",31,"03_D3",1,0.0431798209120377
"opt",31,"03_D3",2,0.0431876750799964
"opt",31,"13_D13",1,0.061047172740073
"opt",31,"13_D13",2,0.0480513850338471
"opt",31,"16_D16",1,0.0443807050193438
"opt",31,"16_D16",2,0.0457596973974777
"opt",31,"19_D19",1,0.0508023284729738
"opt",31,"19_D19",2,0.0565114393886159
"opt",31,"21_D21",1,0.0545633785063975
"opt",31,"21_D21",2,0.0540732274490304
