"species","population","round","colour","Temp.treatment","Temp.value","plate","dispersion_id","gender_egg_wave_1","days_until_adult","place_adult_female","n_eggs_on_A","n_eggs_on_bridge","Num.disp","total.N","n_survivors","n_males_egg_wave_2","n_females_egg_wave_2","Issue","Fitness","fitness_with_disp"
"T. urticae","Beis C ","A","G","low",24,"Beis C  24 A","1","female",10,"A",20,0,0,20,18,6,12,"","1,2","0"
"T. urticae","Beis C ","A","G","low",24,"Beis C  24 A","/","male",11,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","low",24,"Beis C  24 A","/","male",11,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","low",24,"Beis C  24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","low",24,"Beis C  24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","1","female",9,"B",21,0,6,27,26,4,22,"","2,444444444","0,543209877"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","2","female",9,"On cotton next to B",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","3","female",9,"On cotton next to B",23,0,0,23,20,4,16,"","1,777777778","0"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","4","female",9,"Death on A",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","5","female",9,"weg???",29,0,0,29,32,10,22,"Survival hoger dan #eggs","2,444444444","0"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","6","female",9,"A",21,0,0,21,20,4,16,"","1,777777778","0"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","7","female",9,"weg???",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","opt",30,"Beis C  30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","high",36,"Beis C  36 A","1","female",9,"A",10,0,0,10,0,0,0,"","0","0"
"T. urticae","Beis C ","A","G","high",36,"Beis C  36 A","2","female",9,"On cotton next to A",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Beis C ","A","G","high",36,"Beis C  36 A","3","female",9,"On cotton next to A",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Beis C ","A","G","high",36,"Beis C  36 A","4","female",9,"B",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Beis C ","A","G","high",36,"Beis C  36 A","5","female",9,"A",13,0,0,13,0,0,0,"","0","0"
"T. urticae","Beis C ","A","G","high",36,"Beis C  36 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Beis C ","A","G","high",36,"Beis C  36 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","low",24,"Lux 24 A","1","female",11,"A",27,0,0,27,12,6,6,"","0,545454545","0"
"T. urticae","Lux","A","G","low",24,"Lux 24 A","2","female",11,"A",33,0,0,33,11,6,5,"","0,454545455","0"
"T. urticae","Lux","A","G","low",24,"Lux 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","low",24,"Lux 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","opt",30,"Lux 30 A","1","female",9,"On cotton next to bridge",16,0,0,16,8,1,7,"","0,777777778","0"
"T. urticae","Lux","A","G","opt",30,"Lux 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","opt",30,"Lux 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","opt",30,"Lux 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","high",36,"Lux 36 A","/","male",7,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","high",36,"Lux 36 A","/","male",7,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","high",36,"Lux 36 A","/","male",7,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","high",36,"Lux 36 A","/","male",7,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Lux","A","G","high",36,"Lux 36 A","/","male",7,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","1","female",10,"On cotton next to A",1,0,0,1,1,1,0,"","0","0"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","2","female",10,"On cotton next to A",2,0,0,2,0,0,0,"","0","0"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","3","female",10," A",30,0,0,30,14,1,13,"2 adult females on leaf","1,3","0"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","4","female",10,"weg??? ",2,0,0,2,0,0,0,"","0","0"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","5","female",10,"weg???",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","12","female",11,"A",35,0,0,35,4,3,1,"","0,090909091","0"
"T. urticae","Led-5","A","G","low",24,"Led-5 24 A","13","female",11,"On cotton next to A",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","1","female",9,"weg???",1,0,0,1,13,3,10,"Survival hoger dan #eggs","1,111111111","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","2","female",9,"B",5,0,4,9,9,3,6,"","0,666666667","0,296296296"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","3","female",9,"A",40,0,0,40,35,12,23,"","2,555555556","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","4","female",9,"A",42,0,0,42,32,5,27,"","3","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","5","female",9,"Death on A",27,0,0,27,23,5,18,"","2","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","6","female",9,"A",27,0,0,27,21,2,19,"","2,111111111","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","7","female",9,"A",45,0,0,45,37,6,31,"","3,444444444","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","8","female",9,"A",21,0,0,21,9,6,3,"","0,333333333","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","9","female",9,"On cotton next to bridge",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","10","female",9,"On cotton next to A",19,0,0,19,9,1,8,"","0,888888889","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","11","female",9,"B",36,0,0,36,7,1,6,"","0,666666667","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","12","female",9,"A",19,0,0,19,19,4,15,"","1,666666667","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","13","female",9,"A",14,0,0,14,21,6,15,"Survival hoger dan #eggs","1,666666667","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","14","female",9,"A",34,0,0,34,31,6,25,"","2,777777778","0"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","opt",30,"Led-5 30 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","1","female",9,"Death on A",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","2","female",9,"A",22,0,0,22,21,8,13,"","1,444444444","0"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","3","female",9,"On cotton next to A",5,0,0,5,5,3,2,"","0,222222222","0"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","4","female",9,"Death on A",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","5","female",9,"On cotton next to B",2,0,0,2,1,1,0,"","0","0"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","6","female",9,"On cotton next to B",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","7","female",9,"Death on A",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","8","female",9,"A",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","9","female",9,"Death on A",11,0,0,11,10,6,4,"","0,444444444","0"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","10","female",9,"Death on B",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","/","female",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Led-5","A","G","high",36,"Led-5 36 A","/","male",9,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Mar","A","G","low",24,"Mar 24 A","1","female",10,"Death on A",0,0,0,0,0,0,0,"","0","#N/A"
"T. urticae","Mar","A","G","low",24,"Mar 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Mar","A","G","low",24,"Mar 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
"T. urticae","Mar","A","G","low",24,"Mar 24 A","/","male",10,"",NA,NA,NA,NA,NA,NA,NA,"","#N/A","#N/A"
