"Species","Temp.treatment","Temp.value","Replicate","Num.disp","Num.nondisp"
"Bigelowiellia natans","low",14,"rep1",0,1
"Bigelowiellia natans","low",14,"rep2",3,23
"Bigelowiellia natans","low",14,"rep3",0,15
"Bigelowiellia natans","low",14,"rep4",1,6
"Bigelowiellia natans","low",14,"rep5",0,21
"Bigelowiellia natans","low",14,"rep6",0,9
"Bigelowiellia natans","high",30,"rep1",1,30
"Bigelowiellia natans","high",30,"rep2",1,19
"Bigelowiellia natans","high",30,"rep3",1,36
"Bigelowiellia natans","high",30,"rep4",0,27
"Bigelowiellia natans","high",30,"rep5",2,23
"Bigelowiellia natans","high",30,"rep6",1,24
"Bigelowiellia natans","opt",18,"rep1",4,81
"Bigelowiellia natans","opt",18,"rep2",3,26
"Bigelowiellia natans","opt",18,"rep3",5,38
"Bigelowiellia natans","opt",18,"rep4",2,44
"Bigelowiellia natans","opt",18,"rep5",9,27
"Bigelowiellia natans","opt",18,"rep6",1,66
