"Individual","Temp.rearing","Rearing.T.value","Temp.treatment","Temp.value","Group","Dispersed","Sex","Length"
"I1","opt",33,"high",37,"13-May",0,"M",0.290666667
"I1","opt",33,"high",37,"13-May",0,"M",0.253
"I1","opt",33,"high",37,"13-May",0,"M",0.243666667
"I1","opt",33,"high",37,"13-May",0,"M",0.275
"I1","opt",33,"high",37,"13-May",0,"F",0.310333333
"I2","opt",33,"high",37,"13-May",0,"M",0.253666667
"I2","opt",33,"high",37,"13-May",0,"M",0.239666667
"I2","opt",33,"high",37,"13-May",0,"M",0.246333333
"I2","opt",33,"high",37,"13-May",0,"M",0.255666667
"I2","opt",33,"high",37,"13-May",0,"F",0.299666667
"I3","opt",33,"high",37,"13-May",0,"M",0.269333333
"I3","opt",33,"high",37,"13-May",0,"M",0.279666667
"I3","opt",33,"high",37,"13-May",0,"M",0.259666667
"I3","opt",33,"high",37,"13-May",0,"M",0.228333333
"I3","opt",33,"high",37,"13-May",0,"M",0.229666667
"I3","opt",33,"high",37,"13-May",0,"F",0.317333333
"I3","opt",33,"high",37,"13-May",0,"F",0.301333333
"I3","opt",33,"high",37,"13-May",0,"F",0.323
"I4","opt",33,"high",37,"13-May",0,"M",0.273333333
"I4","opt",33,"high",37,"13-May",0,"M",0.249333333
"I4","opt",33,"high",37,"13-May",0,"M",0.264666667
"I4","opt",33,"high",37,"13-May",0,"M",0.250666667
"I4","opt",33,"high",37,"13-May",0,"M",0.282333333
"I4","opt",33,"high",37,"13-May",0,"F",0.289333333
"I4","opt",33,"high",37,"13-May",0,"F",0.282333333
"D1","opt",33,"high",37,"13-May",1,"M",0.282666667
"D1","opt",33,"high",37,"13-May",1,"F",0.346333333
"D1","opt",33,"high",37,"13-May",1,"F",0.299666667
"D1","opt",33,"high",37,"13-May",1,"F",0.291
"D1","opt",33,"high",37,"13-May",1,"F",0.322666667
"D2","opt",33,"high",37,"13-May",1,"M",0.264
"D2","opt",33,"high",37,"13-May",1,"F",0.304666667
"D2","opt",33,"high",37,"13-May",1,"F",0.356
"D2","opt",33,"high",37,"13-May",1,"F",0.302666667
"D2","opt",33,"high",37,"13-May",1,"F",0.346
"D3","opt",33,"high",37,"13-May",1,"F",0.306666667
"D3","opt",33,"high",37,"13-May",1,"F",0.293666667
"D4","opt",33,"high",37,"13-May",1,"F",0.305333333
"D4","opt",33,"high",37,"13-May",1,"F",0.330666667
"D4","opt",33,"high",37,"13-May",1,"F",0.338
"I1","opt",33,"opt",33,"13-May",0,"M",0.267
"I1","opt",33,"opt",33,"13-May",0,"M",0.241333333
"I1","opt",33,"opt",33,"13-May",0,"M",0.243666667
"I1","opt",33,"opt",33,"13-May",0,"M",0.273666667
"I1","opt",33,"opt",33,"13-May",0,"F",0.313333333
"I1","opt",33,"opt",33,"13-May",0,"F",0.272666667
"I2","opt",33,"opt",33,"13-May",0,"M",0.256666667
"I2","opt",33,"opt",33,"13-May",0,"M",0.241333333
"I2","opt",33,"opt",33,"13-May",0,"M",0.226
"I2","opt",33,"opt",33,"13-May",0,"M",0.237333333
"I2","opt",33,"opt",33,"13-May",0,"M",0.245
"I2","opt",33,"opt",33,"13-May",0,"F",0.308
"I2","opt",33,"opt",33,"13-May",0,"F",0.279
"I2","opt",33,"opt",33,"13-May",0,"F",0.312666667
"I2","opt",33,"opt",33,"13-May",0,"F",0.333
"I3","opt",33,"opt",33,"13-May",0,"M",0.254333333
"I3","opt",33,"opt",33,"13-May",0,"M",0.283666667
"I3","opt",33,"opt",33,"13-May",0,"M",0.282
"I3","opt",33,"opt",33,"13-May",0,"M",0.336333333
"I3","opt",33,"opt",33,"13-May",0,"M",0.266
"I3","opt",33,"opt",33,"13-May",0,"F",0.326666667
"I3","opt",33,"opt",33,"13-May",0,"F",0.330666667
"I3","opt",33,"opt",33,"13-May",0,"F",0.298
"I3","opt",33,"opt",33,"13-May",0,"F",0.318
"I4","opt",33,"opt",33,"13-May",0,"M",0.291
"I4","opt",33,"opt",33,"13-May",0,"M",0.224333333
"I4","opt",33,"opt",33,"13-May",0,"M",0.276666667
"I4","opt",33,"opt",33,"13-May",0,"F",0.299
"D1","opt",33,"opt",33,"13-May",1,"M",0.283
"D1","opt",33,"opt",33,"13-May",1,"F",0.326
