"Temp.value","Temp.treatment","Room","System","Species","Mesocosm","Survived","Dispersed"
18,"low","A","A17","Gryllus campestris","E37","Y",1
18,"low","A","A17","Gryllus campestris","E37","Y",1
18,"low","A","A17","Gryllus campestris","E37","Y",0
18,"low","A","A17","Gryllus campestris","E37","Y",0
18,"low","A","A17","Gryllus campestris","E37","Y",0
18,"low","A","A19","Gryllus campestris","E44","Y",1
18,"low","A","A19","Gryllus campestris","E44","Y",1
18,"low","A","A19","Gryllus campestris","E44","Y",1
18,"low","A","A19","Gryllus campestris","E44","Y",1
18,"low","A","A19","Gryllus campestris","E44","Y",1
18,"low","A","A20","Gryllus campestris","E25","Y",1
18,"low","A","A20","Gryllus campestris","E25","Y",1
18,"low","A","A20","Gryllus campestris","E25","Y",1
18,"low","A","A20","Gryllus campestris","E25","Y",0
18,"low","A","A20","Gryllus campestris","E25","Y",0
18,"low","A","A21","Gryllus campestris","E34","Y",1
18,"low","A","A22","Gryllus campestris","E39","Y",1
18,"low","A","A22","Gryllus campestris","E39","Y",1
18,"low","A","A22","Gryllus campestris","E39","Y",0
18,"low","A","A22","Gryllus campestris","E39","Y",0
18,"low","A","A22","Gryllus campestris","E39","Y",0
18,"low","A","A23","Gryllus campestris","E38","Y",0
18,"low","A","A23","Gryllus campestris","E38","Y",0
18,"low","A","A23","Gryllus campestris","E38","Y",0
18,"low","A","A23","Gryllus campestris","E38","Y",0
18,"low","A","A23","Gryllus campestris","E38","Y",0
18,"low","A","A24","Gryllus campestris","E43","Y",1
18,"low","A","A24","Gryllus campestris","E43","Y",1
18,"low","A","A24","Gryllus campestris","E43","Y",0
18,"low","A","A24","Gryllus campestris","E43","Y",0
18,"low","A","A24","Gryllus campestris","E43","Y",0
22,"medium.low","B","B17","Gryllus campestris","E37","Y",1
22,"medium.low","B","B17","Gryllus campestris","E37","Y",1
22,"medium.low","B","B17","Gryllus campestris","E37","Y",1
22,"medium.low","B","B17","Gryllus campestris","E37","Y",1
22,"medium.low","B","B17","Gryllus campestris","E37","Y",1
22,"medium.low","B","B19","Gryllus campestris","E44","Y",1
22,"medium.low","B","B19","Gryllus campestris","E44","Y",0
22,"medium.low","B","B19","Gryllus campestris","E44","Y",0
22,"medium.low","B","B19","Gryllus campestris","E44","Y",0
22,"medium.low","B","B19","Gryllus campestris","E44","Y",0
22,"medium.low","B","B20","Gryllus campestris","E25","Y",1
22,"medium.low","B","B20","Gryllus campestris","E25","Y",1
22,"medium.low","B","B20","Gryllus campestris","E25","Y",1
22,"medium.low","B","B20","Gryllus campestris","E25","Y",0
22,"medium.low","B","B21","Gryllus campestris","E34","Y",0
22,"medium.low","B","B21","Gryllus campestris","E34","Y",0
22,"medium.low","B","B22","Gryllus campestris","E39","Y",1
22,"medium.low","B","B22","Gryllus campestris","E39","Y",1
22,"medium.low","B","B22","Gryllus campestris","E39","Y",1
22,"medium.low","B","B22","Gryllus campestris","E39","Y",0
22,"medium.low","B","B22","Gryllus campestris","E39","Y",0
22,"medium.low","B","B23","Gryllus campestris","E38","Y",1
22,"medium.low","B","B23","Gryllus campestris","E38","Y",1
22,"medium.low","B","B23","Gryllus campestris","E38","Y",1
22,"medium.low","B","B23","Gryllus campestris","E38","Y",1
22,"medium.low","B","B23","Gryllus campestris","E38","Y",0
22,"medium.low","B","B24","Gryllus campestris","E43","Y",1
22,"medium.low","B","B24","Gryllus campestris","E43","Y",1
22,"medium.low","B","B24","Gryllus campestris","E43","Y",1
22,"medium.low","B","B24","Gryllus campestris","E43","Y",1
22,"medium.low","B","B24","Gryllus campestris","E43","Y",0
26,"opt","C","C17","Gryllus campestris","E37","Y",1
26,"opt","C","C17","Gryllus campestris","E37","Y",1
26,"opt","C","C17","Gryllus campestris","E37","Y",1
26,"opt","C","C17","Gryllus campestris","E37","Y",0
26,"opt","C","C19","Gryllus campestris","E44","Y",1
26,"opt","C","C19","Gryllus campestris","E44","Y",1
26,"opt","C","C19","Gryllus campestris","E44","Y",1
26,"opt","C","C19","Gryllus campestris","E44","Y",0
26,"opt","C","C19","Gryllus campestris","E44","Y",0
26,"opt","C","C20","Gryllus campestris","E25","Y",1
26,"opt","C","C20","Gryllus campestris","E25","Y",1
26,"opt","C","C20","Gryllus campestris","E25","Y",1
26,"opt","C","C20","Gryllus campestris","E25","Y",0
26,"opt","C","C20","Gryllus campestris","E25","Y",0
26,"opt","C","C21","Gryllus campestris","E34","Y",0
26,"opt","C","C22","Gryllus campestris","E39","Y",1
26,"opt","C","C22","Gryllus campestris","E39","Y",1
26,"opt","C","C22","Gryllus campestris","E39","Y",1
26,"opt","C","C22","Gryllus campestris","E39","Y",0
26,"opt","C","C22","Gryllus campestris","E39","Y",0
26,"opt","C","C23","Gryllus campestris","E38","Y",1
26,"opt","C","C23","Gryllus campestris","E38","Y",1
26,"opt","C","C23","Gryllus campestris","E38","Y",0
26,"opt","C","C23","Gryllus campestris","E38","Y",0
26,"opt","C","C23","Gryllus campestris","E38","Y",0
26,"opt","C","C24","Gryllus campestris","E43","Y",1
26,"opt","C","C24","Gryllus campestris","E43","Y",1
26,"opt","C","C24","Gryllus campestris","E43","Y",1
26,"opt","C","C24","Gryllus campestris","E43","Y",1
26,"opt","C","C24","Gryllus campestris","E43","Y",0
