"Temp.treatment","Temp.value","Mesocosm","Dispersed","Survived"
"opt",26,1,0,"Y"
"opt",26,1,0,"Y"
"opt",26,1,0,"Y"
"opt",26,1,1,"Y"
"opt",26,1,0,"Y"
"opt",26,1,0,"Y"
"opt",26,1,0,"Y"
"opt",26,1,0,"Y"
"high",30,2,1,"Y"
"high",30,2,1,"Y"
"high",30,2,0,"Y"
"high",30,2,1,"Y"
"high",30,2,1,"Y"
"high",30,2,1,"Y"
"high",30,2,1,"Y"
"opt",26,3,0,"Y"
"opt",26,3,1,"Y"
"opt",26,3,0,"Y"
"opt",26,3,0,"Y"
"opt",26,3,1,"Y"
"opt",26,3,0,"Y"
"opt",26,3,1,"Y"
"opt",26,3,0,"Y"
"opt",26,3,1,"Y"
"opt",26,4,1,"Y"
"opt",26,4,0,"Y"
"opt",26,4,0,"Y"
"opt",26,4,0,"Y"
"opt",26,4,0,"Y"
"opt",26,4,1,"Y"
"opt",26,4,0,"Y"
"opt",26,4,0,"Y"
"low",16,5,0,"Y"
"low",16,5,1,"Y"
"low",16,5,1,"Y"
"low",16,5,0,"Y"
"low",16,5,1,"Y"
"low",16,5,1,"Y"
"low",16,6,0,"Y"
"low",16,6,0,"Y"
"low",16,6,0,"Y"
"low",16,6,0,"Y"
"low",16,6,0,"Y"
"low",16,6,0,"Y"
"low",16,6,0,"Y"
"low",16,6,1,"Y"
"low",16,6,0,"Y"
"low",16,6,0,"Y"
"low",16,6,1,"Y"
"low",16,6,1,"Y"
"high",30,7,1,"Y"
"high",30,7,0,"Y"
"high",30,7,0,"Y"
"high",30,7,0,"Y"
"high",30,7,1,"Y"
"high",30,7,0,"Y"
"high",30,7,1,"Y"
"high",30,7,0,"Y"
"high",30,7,1,"Y"
"high",30,7,1,"Y"
"high",30,7,1,"Y"
"low",16,8,0,"Y"
"low",16,8,1,"Y"
"low",16,8,0,"Y"
"low",16,8,0,"Y"
"low",16,8,0,"Y"
"low",16,8,1,"Y"
"low",16,8,0,"Y"
"low",16,8,0,"Y"
"low",16,8,0,"Y"
"low",16,8,0,"Y"
"low",16,8,0,"Y"
"low",16,8,0,"Y"
"low",16,8,0,"Y"
"high",30,9,1,"Y"
"high",30,9,0,"Y"
"high",30,9,1,"Y"
"high",30,9,1,"Y"
"high",30,9,1,"Y"
"high",30,9,0,"Y"
"opt",26,10,1,"Y"
"opt",26,10,1,"Y"
"opt",26,10,0,"Y"
"opt",26,10,0,"Y"
"opt",26,10,0,"Y"
"opt",26,10,0,"Y"
"opt",26,10,0,"Y"
"opt",26,10,1,"Y"
"opt",26,10,1,"Y"
"opt",26,10,0,"Y"
"high",30,11,0,"Y"
"high",30,11,0,"Y"
"high",30,11,0,"Y"
"high",30,11,1,"Y"
"high",30,11,1,"Y"
"low",16,12,0,"Y"
"low",16,12,1,"Y"
"low",16,12,0,"Y"
"low",16,12,0,"Y"
"low",16,12,0,"Y"
"low",16,12,0,"Y"
"low",16,12,0,"Y"
"low",16,12,0,"Y"
"low",16,12,0,"Y"
"low",16,12,1,"Y"
"low",16,12,0,"Y"
"low",16,12,0,"Y"
"opt",26,13,0,"Y"
"opt",26,13,0,"Y"
"opt",26,13,1,"Y"
"opt",26,13,1,"Y"
"opt",26,13,0,"Y"
"opt",26,13,0,"Y"
"opt",26,13,0,"Y"
"opt",26,13,1,"Y"
"opt",26,13,0,"Y"
"opt",26,13,1,"Y"
"opt",26,13,1,"Y"
"low",16,14,0,"Y"
"low",16,14,0,"Y"
"low",16,14,0,"Y"
"low",16,14,0,"Y"
"low",16,14,0,"Y"
"low",16,14,0,"Y"
"low",16,14,1,"Y"
"low",16,14,1,"Y"
"low",16,14,0,"Y"
"low",16,14,0,"Y"
"low",16,14,0,"Y"
"low",16,14,0,"Y"
"high",30,15,1,"Y"
"high",30,15,0,"Y"
"high",30,15,0,"Y"
"high",30,15,1,"Y"
"high",30,15,0,"Y"
"high",30,15,1,"Y"
"high",30,15,0,"Y"
"high",30,15,1,"Y"
"high",30,15,1,"Y"
"low",16,16,1,"Y"
"low",16,16,0,"Y"
"low",16,16,1,"Y"
"low",16,16,0,"Y"
"low",16,16,1,"Y"
"low",16,16,0,"Y"
"low",16,16,0,"Y"
"low",16,16,1,"Y"
"low",16,16,1,"Y"
"low",16,16,1,"Y"
"low",16,16,0,"Y"
"low",16,16,1,"Y"
"low",16,16,0,"Y"
"high",30,17,0,"Y"
"high",30,17,0,"Y"
"high",30,17,0,"Y"
"high",30,17,1,"Y"
"high",30,17,0,"Y"
"high",30,17,0,"Y"
"high",30,17,0,"Y"
"high",30,17,0,"Y"
"high",30,17,1,"Y"
"opt",26,18,1,"Y"
"opt",26,18,0,"Y"
"opt",26,18,0,"Y"
"opt",26,18,0,"Y"
"opt",26,18,1,"Y"
"opt",26,18,1,"Y"
"opt",26,18,0,"Y"
"opt",26,18,0,"Y"
"opt",26,18,1,"Y"
"opt",26,18,0,"Y"
"opt",26,18,1,"Y"
