"Temp.value","Temp.treatment","Room","System","Species","Mesocosm","Survived","Dispersed"
18,"low","A","A10","Pisaura mirabilis","E34","Y",1
18,"low","A","A10","Pisaura mirabilis","E34","Y",0
18,"low","A","A10","Pisaura mirabilis","E34","Y",0
18,"low","A","A10","Pisaura mirabilis","E34","Y",0
18,"low","A","A15","Pisaura mirabilis","E38","Y",1
18,"low","A","A15","Pisaura mirabilis","E38","Y",0
18,"low","A","A15","Pisaura mirabilis","E38","Y",0
18,"low","A","A15","Pisaura mirabilis","E38","Y",0
18,"low","A","A17","Pisaura mirabilis","E29","Y",0
18,"low","A","A17","Pisaura mirabilis","E29","Y",0
18,"low","A","A17","Pisaura mirabilis","E29","Y",0
18,"low","A","A17","Pisaura mirabilis","E29","Y",0
18,"low","A","A17","Pisaura mirabilis","E29","Y",0
18,"low","A","A18","Pisaura mirabilis","E30","Y",0
18,"low","A","A18","Pisaura mirabilis","E30","Y",0
18,"low","A","A18","Pisaura mirabilis","E30","Y",0
18,"low","A","A18","Pisaura mirabilis","E30","Y",0
18,"low","A","A18","Pisaura mirabilis","E30","Y",0
18,"low","A","A19","Pisaura mirabilis","E33","Y",0
18,"low","A","A19","Pisaura mirabilis","E33","Y",0
18,"low","A","A20","Pisaura mirabilis","E46","Y",1
18,"low","A","A20","Pisaura mirabilis","E46","Y",0
18,"low","A","A20","Pisaura mirabilis","E46","Y",0
18,"low","A","A20","Pisaura mirabilis","E46","Y",0
18,"low","A","A20","Pisaura mirabilis","E46","Y",0
18,"low","A","A21","Pisaura mirabilis","E37","Y",0
18,"low","A","A21","Pisaura mirabilis","E37","Y",0
18,"low","A","A21","Pisaura mirabilis","E37","Y",0
18,"low","A","A21","Pisaura mirabilis","E37","Y",0
18,"low","A","A21","Pisaura mirabilis","E37","Y",0
18,"low","A","A22","Pisaura mirabilis","E26","Y",0
18,"low","A","A22","Pisaura mirabilis","E26","Y",0
18,"low","A","A22","Pisaura mirabilis","E26","Y",0
18,"low","A","A23","Pisaura mirabilis","E41","Y",1
18,"low","A","A23","Pisaura mirabilis","E41","Y",0
18,"low","A","A23","Pisaura mirabilis","E41","Y",0
18,"low","A","A23","Pisaura mirabilis","E41","Y",0
18,"low","A","A23","Pisaura mirabilis","E41","Y",0
18,"low","A","A24","Pisaura mirabilis","E27","Y",1
18,"low","A","A24","Pisaura mirabilis","E27","Y",1
18,"low","A","A24","Pisaura mirabilis","E27","Y",0
18,"low","A","A24","Pisaura mirabilis","E27","Y",0
22,"medium.low","B","B10","Pisaura mirabilis","E34","Y",1
22,"medium.low","B","B10","Pisaura mirabilis","E34","Y",0
22,"medium.low","B","B15","Pisaura mirabilis","E38","Y",1
22,"medium.low","B","B15","Pisaura mirabilis","E38","Y",1
22,"medium.low","B","B15","Pisaura mirabilis","E38","Y",0
22,"medium.low","B","B15","Pisaura mirabilis","E38","Y",0
22,"medium.low","B","B17","Pisaura mirabilis","E29","Y",0
22,"medium.low","B","B17","Pisaura mirabilis","E29","Y",0
22,"medium.low","B","B17","Pisaura mirabilis","E29","Y",0
22,"medium.low","B","B17","Pisaura mirabilis","E29","Y",0
22,"medium.low","B","B18","Pisaura mirabilis","E30","Y",0
22,"medium.low","B","B18","Pisaura mirabilis","E30","Y",0
22,"medium.low","B","B18","Pisaura mirabilis","E30","Y",0
22,"medium.low","B","B18","Pisaura mirabilis","E30","Y",0
22,"medium.low","B","B18","Pisaura mirabilis","E30","Y",0
22,"medium.low","B","B19","Pisaura mirabilis","E33","Y",0
22,"medium.low","B","B19","Pisaura mirabilis","E33","Y",0
22,"medium.low","B","B19","Pisaura mirabilis","E33","Y",0
22,"medium.low","B","B20","Pisaura mirabilis","E46","Y",0
22,"medium.low","B","B20","Pisaura mirabilis","E46","Y",0
22,"medium.low","B","B20","Pisaura mirabilis","E46","Y",0
22,"medium.low","B","B20","Pisaura mirabilis","E46","Y",0
22,"medium.low","B","B21","Pisaura mirabilis","E37","Y",0
22,"medium.low","B","B21","Pisaura mirabilis","E37","Y",0
22,"medium.low","B","B21","Pisaura mirabilis","E37","Y",0
