"Temp.treatment","Temp.value","Strain","Replicate","Num.nondisp","Num.disp"
"low",15,"03_D3",1,462,52
"low",15,"03_D3",2,767,32
"opt",31,"03_D3",1,498,1387
"opt",31,"03_D3",2,718,1317
"high",39,"03_D3",1,57,830
"high",39,"03_D3",2,133,876
"low",15,"13_D13",1,622,NA
"low",15,"13_D13",2,739,27
"opt",31,"13_D13",1,402,1152
"opt",31,"13_D13",2,883,1345
"high",39,"13_D13",1,82,1418
"high",39,"13_D13",2,246,1653
"low",15,"16_D16",1,640,2
"low",15,"16_D16",2,357,NA
"opt",31,"16_D16",1,572,738
"opt",31,"16_D16",2,511,708
"high",39,"16_D16",1,233,547
"high",39,"16_D16",2,477,324
"low",15,"19_D19",1,581,109
"low",15,"19_D19",2,504,92
"opt",31,"19_D19",1,337,1168
"opt",31,"19_D19",2,343,983
"high",39,"19_D19",1,486,1218
"high",39,"19_D19",2,140,863
"low",15,"21_D21",1,620,120
"low",15,"21_D21",2,439,86
"opt",31,"21_D21",1,272,1111
"opt",31,"21_D21",2,462,1258
"high",39,"21_D21",1,496,806
"high",39,"21_D21",2,363,582
