"Temp.treatment","Temp.value","petri_dish","block","replicate","time","Num.disp","Num.nondisp"
"control",25,"a",1,1,48,5,9
"control",25,"a",1,2,48,0,15
"control",25,"a",1,3,48,1,11
"control",25,"a",1,4,48,0,14
"control",25,"b",1,5,48,0,15
"control",25,"b",1,6,48,3,11
"control",25,"b",1,7,48,0,14
"control",25,"b",1,8,48,0,14
"control",25,"c",1,9,48,0,15
"control",25,"c",1,10,48,0,12
"control",25,"c",1,11,48,0,14
"control",25,"d",1,12,48,0,14
"control",25,"d",1,13,48,0,15
"control",25,"d",1,14,48,0,15
"control",25,"e",2,15,48,0,13
"opt",30,"a",1,1,48,1,9
"opt",30,"a",1,2,48,0,11
"opt",30,"a",1,3,48,0,12
"opt",30,"a",1,4,48,0,13
"opt",30,"b",1,5,48,1,9
"opt",30,"b",1,6,48,2,7
"opt",30,"b",1,7,48,0,12
"opt",30,"b",1,8,48,0,12
"opt",30,"c",1,9,48,0,8
"opt",30,"c",1,10,48,0,11
"opt",30,"c",1,11,48,0,11
"opt",30,"c",1,12,48,0,9
"opt",30,"d",1,13,48,0,12
"opt",30,"d",1,14,48,3,10
"opt",30,"d",1,15,48,1,12
"opt",30,"d",1,16,48,0,14
"opt",30,"e",1,17,48,0,11
"opt",30,"f",2,18,48,0,14
"high",35,"a",1,1,48,0,10
"high",35,"a",1,2,48,5,5
"high",35,"a",1,3,48,0,12
"high",35,"a",1,4,48,1,9
"high",35,"b",1,5,48,0,9
"high",35,"b",1,6,48,1,6
"high",35,"b",1,7,48,0,6
"high",35,"c",1,8,48,1,10
"high",35,"c",1,9,48,5,12
"high",35,"c",1,10,48,0,7
"high",35,"d",2,11,48,1,7
