Temp.treatment,Temp.value,Strain,Num.nondisp,Num.disp,Observation
low,18,S,1229,144,1
low,18,S,1445,49,2
low,18,S,1165,38,3
low,18,S,1345,36,4
low,18,S,772,152,5
low,18,S,836,31,6
low,18,E,478,51,7
low,18,E,263,36,8
low,18,E,1726,86,9
low,18,E,441,87,10
low,18,E,1808,91,11
low,18,E,1262,194,12
low,18,AHP,97,12,13
low,18,AHP,142,5,14
low,18,AHP,121,7,15
low,18,AHP,224,104,16
low,18,AHP,438,236,17
low,18,AHP,7,469,18
opt,25,S,1393,437,19
opt,25,S,1416,359,20
opt,25,S,1187,381,21
opt,25,S,1328,103,22
opt,25,S,1130,1183,23
opt,25,S,1311,1239,24
opt,25,E,788,0,25
opt,25,E,1025,165,26
opt,25,E,1069,22,27
opt,25,E,929,192,28
opt,25,E,1398,101,29
opt,25,E,1886,81,30
opt,25,AHP,1784,45,31
opt,25,AHP,1243,1,32
opt,25,AHP,1771,112,33
opt,25,AHP,1440,123,34
opt,25,AHP,1287,104,35
opt,25,AHP,1754,127,36
high,30,E,1444,404,37
high,30,E,1103,76,38
high,30,E,1123,165,39
high,30,E,1129,145,40
high,30,E,1357,224,41
high,30,E,1333,613,42
high,30,S,1100,248,43
high,30,S,1434,7,44
high,30,S,1221,41,45
high,30,S,1625,14,46
high,30,S,1476,78,47
high,30,S,1360,111,48
high,30,AHP,1375,403,49
high,30,AHP,1410,270,50
high,30,AHP,1496,446,51
high,30,AHP,1488,18,52
high,30,AHP,1517,400,53
high,30,AHP,1708,37,54
